"gender","child_age","orphans"
"Female",0,10
"Female",1,10
"Female",2,10
"Female",3,10
"Female",4,11
"Female",5,11
"Female",6,12
"Female",7,13
"Female",8,12
"Female",9,15
"Female",10,16
"Female",11,15
"Female",12,14
"Female",13,15
"Female",14,17
"Female",15,17
"Female",16,17
"Female",17,17
"Male",0,49
"Male",1,54
"Male",2,54
"Male",3,57
"Male",4,61
"Male",5,65
"Male",6,69
"Male",7,77
"Male",8,80
"Male",9,86
"Male",10,89
"Male",11,91
"Male",12,96
"Male",13,99
"Male",14,104
"Male",15,107
"Male",16,109
"Male",17,111
