age,gender,deaths,nb_c,orphans
0-9,Female,0,0,0
0-9,Male,0,0,0
10-19,Female,0,0.06003307762118043,0
10-19,Male,0,0,0
20-29,Female,90,0.6923590056053637,62
20-29,Male,210,0.2867830598040534,60
30-39,Female,995,1.5293163215614272,1522
30-39,Male,2308,1.1812246491304825,2726
40-49,Female,1176,1.0154800589803301,1194
40-49,Male,2727,1.4591266854649958,3979
50-59,Female,4884,0.20706234885422548,1011
50-59,Male,11329,0.527810584751463,5980
60-69,Female,6422,0.012635382317858702,81
60-69,Male,14895,0.06108512122615086,910
70-79,Female,4703,0,0
70-79,Male,10909,0.0010773,12
80+,Female,3347,0,0
80+,Male,7762,0,0
