age,gender,deaths
0-9,Female,0
10-19,Female,0
20-29,Female,79
30-39,Female,869
40-49,Female,1027
50-59,Female,4265
60-69,Female,5608
70-79,Female,4107
80+,Female,2923
0-9,Male,0
10-19,Male,0
20-29,Male,183
30-39,Male,2015
40-49,Male,2382
50-59,Male,9893
60-69,Male,13008
70-79,Male,9527
80+,Male,6779
