age,date,gender,fertility_rate
20-24,2003,Male,32.75
20-24,2004,Male,32.75
20-24,2005,Male,31.535
20-24,2006,Male,31.535
20-24,2007,Male,31.535
20-24,2008,Male,31.535
20-24,2009,Male,31.535
20-24,2010,Male,34.571
20-24,2011,Male,34.571
20-24,2012,Male,34.571
20-24,2013,Male,34.571
20-24,2014,Male,34.571
20-24,2015,Male,40.635
20-24,2016,Male,40.635
20-24,2017,Male,40.635
20-24,2018,Male,40.635
20-24,2019,Male,40.635
25-29,2003,Male,99.139
25-29,2004,Male,99.139
25-29,2005,Male,88.376
25-29,2006,Male,88.376
25-29,2007,Male,88.376
25-29,2008,Male,88.376
25-29,2009,Male,88.376
25-29,2010,Male,86.026
25-29,2011,Male,86.026
25-29,2012,Male,86.026
25-29,2013,Male,86.026
25-29,2014,Male,86.026
25-29,2015,Male,89.302
25-29,2016,Male,89.302
25-29,2017,Male,89.302
25-29,2018,Male,89.302
25-29,2019,Male,89.302
30-34,2003,Male,112.377
30-34,2004,Male,112.377
30-34,2005,Male,104.648
30-34,2006,Male,104.648
30-34,2007,Male,104.648
30-34,2008,Male,104.648
30-34,2009,Male,104.648
30-34,2010,Male,104.416
30-34,2011,Male,104.416
30-34,2012,Male,104.416
30-34,2013,Male,104.416
30-34,2014,Male,104.416
30-34,2015,Male,110.983
30-34,2016,Male,110.983
30-34,2017,Male,110.983
30-34,2018,Male,110.983
30-34,2019,Male,110.983
35-39,2003,Male,80.93
35-39,2004,Male,80.93
35-39,2005,Male,82.218
35-39,2006,Male,82.218
35-39,2007,Male,82.218
35-39,2008,Male,82.218
35-39,2009,Male,82.218
35-39,2010,Male,91.252
35-39,2011,Male,91.252
35-39,2012,Male,91.252
35-39,2013,Male,91.252
35-39,2014,Male,91.252
35-39,2015,Male,108.12
35-39,2016,Male,108.12
35-39,2017,Male,108.12
35-39,2018,Male,108.12
35-39,2019,Male,108.12
40-44,2003,Male,41.367
40-44,2004,Male,41.367
40-44,2005,Male,41.71
40-44,2006,Male,41.71
40-44,2007,Male,41.71
40-44,2008,Male,41.71
40-44,2009,Male,41.71
40-44,2010,Male,48.801
40-44,2011,Male,48.801
40-44,2012,Male,48.801
40-44,2013,Male,48.801
40-44,2014,Male,48.801
40-44,2015,Male,61.249
40-44,2016,Male,61.249
40-44,2017,Male,61.249
40-44,2018,Male,61.249
40-44,2019,Male,61.249
45-49,2003,Male,14.326
45-49,2004,Male,14.326
45-49,2005,Male,12.488
45-49,2006,Male,12.488
45-49,2007,Male,12.488
45-49,2008,Male,12.488
45-49,2009,Male,12.488
45-49,2010,Male,13.397
45-49,2011,Male,13.397
45-49,2012,Male,13.397
45-49,2013,Male,13.397
45-49,2014,Male,13.397
45-49,2015,Male,15.501
45-49,2016,Male,15.501
45-49,2017,Male,15.501
45-49,2018,Male,15.501
45-49,2019,Male,15.501
50-54,2003,Male,3.591
50-54,2004,Male,3.591
50-54,2005,Male,3.205
50-54,2006,Male,3.205
50-54,2007,Male,3.205
50-54,2008,Male,3.205
50-54,2009,Male,3.205
50-54,2010,Male,3.537
50-54,2011,Male,3.537
50-54,2012,Male,3.537
50-54,2013,Male,3.537
50-54,2014,Male,3.537
50-54,2015,Male,4.21
50-54,2016,Male,4.21
50-54,2017,Male,4.21
50-54,2018,Male,4.21
50-54,2019,Male,4.21
15-19,2003,Male,0
15-19,2004,Male,0
15-19,2005,Male,0
15-19,2006,Male,0
15-19,2007,Male,0
15-19,2008,Male,0
15-19,2009,Male,0
15-19,2010,Male,0
15-19,2011,Male,0
15-19,2012,Male,0
15-19,2013,Male,0
15-19,2014,Male,0
15-19,2015,Male,0
15-19,2016,Male,0
15-19,2017,Male,0
15-19,2018,Male,0
15-19,2019,Male,0
55+,2003,Male,0
55+,2004,Male,0
55+,2005,Male,0
55+,2006,Male,0
55+,2007,Male,0
55+,2008,Male,0
55+,2009,Male,0
55+,2010,Male,0
55+,2011,Male,0
55+,2012,Male,0
55+,2013,Male,0
55+,2014,Male,0
55+,2015,Male,0
55+,2016,Male,0
55+,2017,Male,0
55+,2018,Male,0
55+,2019,Male,0
20-24,2020,Male,40.635
25-29,2020,Male,89.302
30-34,2020,Male,110.983
35-39,2020,Male,108.12
40-44,2020,Male,61.249
45-49,2020,Male,15.501
50-54,2020,Male,4.21
15-19,2020,Male,0
55+,2020,Male,0
