country,age,gender,date,estimated_value,pop,rate,afr
Brazil,15-19,female,2002,588216.9190997034,8862,66.37518834345559,64.4681018287251
Brazil,15-19,female,2003,579301.9474839863,8797,65.85221637876393,63.81795167908209
Brazil,15-19,female,2004,568971.2074679413,8722,65.23402974867477,63.101531283808605
Brazil,15-19,female,2005,557542.6724327585,8655,64.41856411701427,62.2880428653009
Brazil,15-19,female,2006,545908.4483191239,8600,63.47772654873534,61.3838135677863
Brazil,15-19,female,2007,534113.3833290074,8548,62.48401770344027,60.4252273944412
Brazil,15-19,female,2008,522280.4887109189,8504,61.41586179573364,59.4292173369982
Brazil,15-19,female,2009,510520.6445854503,8473,60.252643052690935,58.3896123319415
Brazil,15-19,female,2010,498819.2634314534,8457,58.98300383486501,57.269055690430896
Brazil,15-19,female,2011,487466.6100595236,8460,57.620166673702556,56.0516739277006
Brazil,15-19,female,2012,476469.49673042167,8479,56.19406731105339,54.7508833478925
Brazil,15-19,female,2013,465435.8664059736,8502,54.74427974664474,53.3768795358628
Brazil,15-19,female,2014,453821.8328939731,8506,53.35314282788303,51.9693458429263
Brazil,15-19,female,2015,440719.9764312753,8478,51.98395570078737,50.556413891104604
Brazil,15-19,female,2016,425079.1506770508,8420,50.48445970036233,49.1646029705901
Brazil,15-19,female,2017,407383.4936398143,8334,48.88210866808427,47.7973013350409
Brazil,15-19,female,2018,390966.3590535723,8224,47.53968373705889,46.745674649155504
Brazil,15-19,female,2019,379650.25234059547,8098,46.88197732039954,46.3281689902088
Brazil,20-24,female,2002,1136575.7248326843,8485,133.95117558428808,131.338315046637
Brazil,20-24,female,2003,1137223.5132592341,8650,131.47092638835076,129.540523816692
Brazil,20-24,female,2004,1133995.2648608107,8776,129.21550420018355,127.76687480082998
Brazil,20-24,female,2005,1126325.1435301313,8846,127.32592624125382,125.98857510151201
Brazil,20-24,female,2006,1113362.6446351924,8873,125.47758871128056,124.178772807782
Brazil,20-24,female,2007,1096138.2724579093,8843,123.95547579530808,122.31892364679001
Brazil,20-24,female,2008,1075701.2349228198,8774,122.60100694356278,120.367463208346
Brazil,20-24,female,2009,1052315.364469662,8696,121.01142645695286,118.24102539603699
Brazil,20-24,female,2010,1025578.8805049061,8629,118.85257625505922,115.828451814585
Brazil,20-24,female,2011,995919.4926073592,8574,116.15576074263578,113.090508989611
Brazil,20-24,female,2012,964404.5510375199,8522,113.16645752611123,110.120331139612
Brazil,20-24,female,2013,932369.3291616447,8479,109.96218058280985,107.008877089377
Brazil,20-24,female,2014,901297.9801637898,8449,106.67510713265355,103.84618532956499
Brazil,20-24,female,2015,873034.0663790866,8434,103.51364315616392,100.75203609743801
Brazil,20-24,female,2016,848056.4225293994,8437,100.51634734258616,97.7479203272504
Brazil,20-24,female,2017,824679.9385858282,8460,97.47989817799387,94.8443719584625
Brazil,20-24,female,2018,801244.3758342912,8488,94.39731100780999,92.0421986367332
Brazil,20-24,female,2019,787239.4249308574,8495,92.67091523612211,90.5829481155829
Brazil,25-29,female,2002,776348.2118356382,7579,102.4341221580206,102.438876403327
Brazil,25-29,female,2003,791306.8489621271,7750,102.10410954350027,101.879712144728
Brazil,25-29,female,2004,807248.1136714201,7928,101.82241595250002,101.329492298217
Brazil,25-29,female,2005,823286.9205698508,8102,101.61527037396333,100.787640998471
Brazil,25-29,female,2006,838408.1328677181,8282,101.23256856649579,100.268351105708
Brazil,25-29,female,2007,851821.2234795337,8460,100.68808788174157,99.7905973160537
Brazil,25-29,female,2008,862334.1107411314,8621,100.02715586835998,99.2974610613999
Brazil,25-29,female,2009,868448.2085216426,8744,99.3193285134541,98.682917679012
Brazil,25-29,female,2010,869104.8552783766,8815,98.59385766062128,97.8683633115456
Brazil,25-29,female,2011,863612.859433341,8840,97.69376237933722,96.8434764993765
Brazil,25-29,female,2012,853222.2799555194,8810,96.8470238315005,95.639719635814
Brazil,25-29,female,2013,839420.5593110132,8742,96.02156935609851,94.2995535553639
Brazil,25-29,female,2014,823390.8643143583,8667,95.00298422918638,92.85859915641021
Brazil,25-29,female,2015,806418.497098858,8602,93.74779087408254,91.3831715695331
Brazil,25-29,female,2016,789625.8224199883,8545,92.4079370883544,89.9141971043511
Brazil,25-29,female,2017,773037.0540775334,8497,90.97764553107372,88.4622000199535
Brazil,25-29,female,2018,760520.7381383413,8459,89.90669560684967,87.4393493764232
Brazil,25-29,female,2019,756540.3650983655,8433,89.7118896120438,87.2971080587226
Brazil,30-34,female,2002,670198.1864170848,7066,94.8483139565645,96.5926052198006
Brazil,30-34,female,2003,675585.4096840929,7113,94.97896944806591,96.3699517357566
Brazil,30-34,female,2004,683609.7939694193,7179,95.22354004310061,96.176793456319
Brazil,30-34,female,2005,694664.3356462613,7273,95.51276442269508,96.0037757381436
Brazil,30-34,female,2006,709247.0155289177,7397,95.88306279963737,95.8243083247568
Brazil,30-34,female,2007,726492.0128109074,7547,96.26235760049124,95.6264647983158
Brazil,30-34,female,2008,745079.0317861746,7714,96.58789626473614,95.3880854538573
Brazil,30-34,female,2009,763470.1793271316,7890,96.76428128354013,95.0520673486122
Brazil,30-34,female,2010,779964.0591652471,8065,96.70974075204552,94.5535087094827
Brazil,30-34,female,2011,793129.0787440761,8242,96.23017213589858,93.8642894383504
Brazil,30-34,female,2012,802320.7566327822,8419,95.29881893725884,92.99940415000631
Brazil,30-34,female,2013,807072.0460773384,8581,94.05337910235852,91.9779814639519
Brazil,30-34,female,2014,807303.2902636359,8706,92.72953023933333,90.8435136608169
Brazil,30-34,female,2015,803195.127961516,8779,91.49050324199978,89.6265490756384
Brazil,30-34,female,2016,794659.4257251474,8802,90.28168890310695,88.3492507052985
Brazil,30-34,female,2017,782832.184736335,8774,89.22181271214212,87.04368588049539
Brazil,30-34,female,2018,770698.3537254749,8711,88.47415379697794,85.9316123436978
Brazil,30-34,female,2019,763510.0290299188,8640,88.36921632290728,85.5074724806799
Brazil,35-39,female,2002,242885.1596131329,6739,36.04172126623133,35.9362161640854
Brazil,35-39,female,2003,245096.44270398538,6812,35.9801002207847,35.9435610305322
Brazil,35-39,female,2004,247264.86549479098,6873,35.976264439806634,36.0115380096653
Brazil,35-39,female,2005,249747.6327488525,6927,36.054227334900034,36.1392650027145
Brazil,35-39,female,2006,252778.49715582724,6979,36.2198734999036,36.326905722791096
Brazil,35-39,female,2007,256952.6009955204,7021,36.59772126413907,36.569527203774705
Brazil,35-39,female,2008,262238.28655375994,7065,37.11794572593913,36.8422373197951
Brazil,35-39,female,2009,268426.08445037913,7130,37.64741717396622,37.1073269300961
Brazil,35-39,female,2010,275427.4462332635,7224,38.126722900507126,37.3259971001386
Brazil,35-39,female,2011,283174.34314707766,7347,38.54285329346368,37.4496889479577
Brazil,35-39,female,2012,291089.91392889066,7496,38.83269929681039,37.4643821718103
Brazil,35-39,female,2013,298480.71238200227,7664,38.94581320224456,37.3706056008768
Brazil,35-39,female,2014,304911.16458666493,7840,38.891730176870524,37.1750665745113
