"age","gender","date","deaths","child_age","nb_c","orphans"
"0-4","Female","2021-04-30",47,0,0,0
"0-4","Female","2021-04-30",47,1,0,0
"0-4","Female","2021-04-30",47,2,0,0
"0-4","Female","2021-04-30",47,3,0,0
"0-4","Female","2021-04-30",47,4,0,0
"0-4","Female","2021-04-30",47,5,0,0
"0-4","Female","2021-04-30",47,6,0,0
"0-4","Female","2021-04-30",47,7,0,0
"0-4","Female","2021-04-30",47,8,0,0
"0-4","Female","2021-04-30",47,9,0,0
"0-4","Female","2021-04-30",47,10,0,0
"0-4","Female","2021-04-30",47,11,0,0
"0-4","Female","2021-04-30",47,12,0,0
"0-4","Female","2021-04-30",47,13,0,0
"0-4","Female","2021-04-30",47,14,0,0
"0-4","Female","2021-04-30",47,15,0,0
"0-4","Female","2021-04-30",47,16,0,0
"0-4","Female","2021-04-30",47,17,0,0
"0-4","Male","2021-04-30",36,0,0,0
"0-4","Male","2021-04-30",36,1,0,0
"0-4","Male","2021-04-30",36,2,0,0
"0-4","Male","2021-04-30",36,3,0,0
"0-4","Male","2021-04-30",36,4,0,0
"0-4","Male","2021-04-30",36,5,0,0
"0-4","Male","2021-04-30",36,6,0,0
"0-4","Male","2021-04-30",36,7,0,0
"0-4","Male","2021-04-30",36,8,0,0
"0-4","Male","2021-04-30",36,9,0,0
"0-4","Male","2021-04-30",36,10,0,0
"0-4","Male","2021-04-30",36,11,0,0
"0-4","Male","2021-04-30",36,12,0,0
"0-4","Male","2021-04-30",36,13,0,0
"0-4","Male","2021-04-30",36,14,0,0
"0-4","Male","2021-04-30",36,15,0,0
"0-4","Male","2021-04-30",36,16,0,0
"0-4","Male","2021-04-30",36,17,0,0
"10-14","Female","2021-04-30",15,0,0,0
"10-14","Female","2021-04-30",15,1,0,0
"10-14","Female","2021-04-30",15,2,0,0
"10-14","Female","2021-04-30",15,3,0,0
"10-14","Female","2021-04-30",15,4,0,0
"10-14","Female","2021-04-30",15,5,0,0
"10-14","Female","2021-04-30",15,6,0,0
"10-14","Female","2021-04-30",15,7,0,0
"10-14","Female","2021-04-30",15,8,0,0
"10-14","Female","2021-04-30",15,9,0,0
"10-14","Female","2021-04-30",15,10,0,0
"10-14","Female","2021-04-30",15,11,0,0
"10-14","Female","2021-04-30",15,12,0,0
"10-14","Female","2021-04-30",15,13,0,0
"10-14","Female","2021-04-30",15,14,0,0
"10-14","Female","2021-04-30",15,15,0,0
"10-14","Female","2021-04-30",15,16,0,0
"10-14","Female","2021-04-30",15,17,0,0
"10-14","Male","2021-04-30",11,0,0,0
"10-14","Male","2021-04-30",11,1,0,0
"10-14","Male","2021-04-30",11,2,0,0
"10-14","Male","2021-04-30",11,3,0,0
"10-14","Male","2021-04-30",11,4,0,0
"10-14","Male","2021-04-30",11,5,0,0
"10-14","Male","2021-04-30",11,6,0,0
"10-14","Male","2021-04-30",11,7,0,0
"10-14","Male","2021-04-30",11,8,0,0
"10-14","Male","2021-04-30",11,9,0,0
"10-14","Male","2021-04-30",11,10,0,0
"10-14","Male","2021-04-30",11,11,0,0
"10-14","Male","2021-04-30",11,12,0,0
"10-14","Male","2021-04-30",11,13,0,0
"10-14","Male","2021-04-30",11,14,0,0
"10-14","Male","2021-04-30",11,15,0,0
"10-14","Male","2021-04-30",11,16,0,0
"10-14","Male","2021-04-30",11,17,0,0
"15-19","Female","2021-04-30",36,0,0.073131993049366,3
"15-19","Female","2021-04-30",36,1,0.0585055944394928,2
"15-19","Female","2021-04-30",36,2,0.0438791958296196,2
"15-19","Female","2021-04-30",36,3,0.0292527972197464,1
"15-19","Female","2021-04-30",36,4,0.0146263986098732,1
"15-19","Female","2021-04-30",36,5,0,0
"15-19","Female","2021-04-30",36,6,0,0
"15-19","Female","2021-04-30",36,7,0,0
"15-19","Female","2021-04-30",36,8,0,0
"15-19","Female","2021-04-30",36,9,0,0
"15-19","Female","2021-04-30",36,10,0,0
"15-19","Female","2021-04-30",36,11,0,0
"15-19","Female","2021-04-30",36,12,0,0
"15-19","Female","2021-04-30",36,13,0,0
"15-19","Female","2021-04-30",36,14,0,0
"15-19","Female","2021-04-30",36,15,0,0
"15-19","Female","2021-04-30",36,16,0,0
"15-19","Female","2021-04-30",36,17,0,0
"15-19","Male","2021-04-30",51,0,0.0148631300752032,1
"15-19","Male","2021-04-30",51,1,0.0118905040601626,1
"15-19","Male","2021-04-30",51,2,0.00891787804512192,0
"15-19","Male","2021-04-30",51,3,0.00594525203008128,0
"15-19","Male","2021-04-30",51,4,0.00297262601504064,0
"15-19","Male","2021-04-30",51,5,0,0
"15-19","Male","2021-04-30",51,6,0,0
"15-19","Male","2021-04-30",51,7,0,0
"15-19","Male","2021-04-30",51,8,0,0
"15-19","Male","2021-04-30",51,9,0,0
"15-19","Male","2021-04-30",51,10,0,0
"15-19","Male","2021-04-30",51,11,0,0
"15-19","Male","2021-04-30",51,12,0,0
"15-19","Male","2021-04-30",51,13,0,0
"15-19","Male","2021-04-30",51,14,0,0
"15-19","Male","2021-04-30",51,15,0,0
"15-19","Male","2021-04-30",51,16,0,0
"15-19","Male","2021-04-30",51,17,0,0
"20-24","Female","2021-04-30",138,0,0.119599796001524,17
"20-24","Female","2021-04-30",138,1,0.110306235411092,15
"20-24","Female","2021-04-30",138,2,0.101012674820661,14
"20-24","Female","2021-04-30",138,3,0.0917191142302292,13
"20-24","Female","2021-04-30",138,4,0.0824255536397976,11
"20-24","Female","2021-04-30",138,5,0.073131993049366,10
"20-24","Female","2021-04-30",138,6,0.0585055944394928,8
"20-24","Female","2021-04-30",138,7,0.0438791958296196,6
"20-24","Female","2021-04-30",138,8,0.0292527972197464,4
"20-24","Female","2021-04-30",138,9,0.0146263986098732,2
"20-24","Female","2021-04-30",138,10,0,0
"20-24","Female","2021-04-30",138,11,0,0
"20-24","Female","2021-04-30",138,12,0,0
"20-24","Female","2021-04-30",138,13,0,0
"20-24","Female","2021-04-30",138,14,0,0
"20-24","Female","2021-04-30",138,15,0,0
"20-24","Female","2021-04-30",138,16,0,0
"20-24","Female","2021-04-30",138,17,0,0
"20-24","Male","2021-04-30",161,0,0.090261669344046,15
"20-24","Male","2021-04-30",161,1,0.0751819614902774,12
"20-24","Male","2021-04-30",161,2,0.0601022536365089,10
"20-24","Male","2021-04-30",161,3,0.0450225457827403,7
"20-24","Male","2021-04-30",161,4,0.0299428379289718,5
"20-24","Male","2021-04-30",161,5,0.0148631300752032,2
"20-24","Male","2021-04-30",161,6,0.0118905040601626,2
"20-24","Male","2021-04-30",161,7,0.00891787804512192,1
"20-24","Male","2021-04-30",161,8,0.00594525203008128,1
"20-24","Male","2021-04-30",161,9,0.00297262601504064,0
"20-24","Male","2021-04-30",161,10,0,0
"20-24","Male","2021-04-30",161,11,0,0
"20-24","Male","2021-04-30",161,12,0,0
"20-24","Male","2021-04-30",161,13,0,0
"20-24","Male","2021-04-30",161,14,0,0
"20-24","Male","2021-04-30",161,15,0,0
"20-24","Male","2021-04-30",161,16,0,0
"20-24","Male","2021-04-30",161,17,0,0
"25-29","Female","2021-04-30",214,0,0.100968420257288,22
"25-29","Female","2021-04-30",214,1,0.104694695406135,22
"25-29","Female","2021-04-30",214,2,0.108420970554982,23
"25-29","Female","2021-04-30",214,3,0.11214724570383,24
"25-29","Female","2021-04-30",214,4,0.115873520852677,25
"25-29","Female","2021-04-30",214,5,0.119599796001524,26
"25-29","Female","2021-04-30",214,6,0.110306235411092,24
"25-29","Female","2021-04-30",214,7,0.101012674820661,22
"25-29","Female","2021-04-30",214,8,0.0917191142302292,20
"25-29","Female","2021-04-30",214,9,0.0824255536397976,18
"25-29","Female","2021-04-30",214,10,0.0855632119384775,18
"25-29","Female","2021-04-30",214,11,0.068450569550782,15
"25-29","Female","2021-04-30",214,12,0.0513379271630865,11
"25-29","Female","2021-04-30",214,13,0.034225284775391,7
"25-29","Female","2021-04-30",214,14,0.0171126423876955,4
"25-29","Female","2021-04-30",214,15,0,0
"25-29","Female","2021-04-30",214,16,0,0
"25-29","Female","2021-04-30",214,17,0,0
"25-29","Male","2021-04-30",293,0,0.119971558410947,35
"25-29","Male","2021-04-30",293,1,0.114029580597567,33
"25-29","Male","2021-04-30",293,2,0.108087602784187,32
"25-29","Male","2021-04-30",293,3,0.102145624970806,30
"25-29","Male","2021-04-30",293,4,0.0962036471574262,28
"25-29","Male","2021-04-30",293,5,0.090261669344046,26
"25-29","Male","2021-04-30",293,6,0.0751819614902774,22
"25-29","Male","2021-04-30",293,7,0.0601022536365089,18
