age,gender,date,deaths,nb_c,orphans
00-04,female,2021-10-09,72,0,0
00-04,male,2021-10-09,117,0,0
05-09,female,2021-10-09,15,0,0
05-09,male,2021-10-09,24,0,0
10-14,female,2021-10-09,22,0,0
10-14,male,2021-10-09,35,0,0
15-19,female,2021-10-09,55,0.2193959791480981,12
15-19,male,2021-10-09,88,0.04458939022560946,4
20-24,female,2021-10-09,156,0.7244593532514008,113
20-24,male,2021-10-09,253,0.3451006584081538,87
25-29,female,2021-10-09,310,1.3038578626936455,404
25-29,male,2021-10-09,502,0.8856423626159836,445
30-34,female,2021-10-09,529,1.7391460815584348,920
30-34,male,2021-10-09,856,1.4850378408578992,1271
35-39,female,2021-10-09,940,1.6798840589455504,1579
35-39,male,2021-10-09,1520,1.9342759984604525,2940
40-44,female,2021-10-09,1456,1.2606799808639737,1836
40-44,male,2021-10-09,2355,1.9056045515929998,4488
45-49,female,2021-10-09,1978,0.7681137216892596,1519
45-49,male,2021-10-09,3200,1.463185932954298,4682
50-54,female,2021-10-09,2941,0.37397432483318516,1100
50-54,male,2021-10-09,4758,0.9499122508419865,4520
55-59,female,2021-10-09,4286,0.11754542283621612,504
55-59,male,2021-10-09,6933,0.5549162714174232,3847
60-64,female,2021-10-09,5464,0.019000498772964218,104
60-64,male,2021-10-09,8840,0.29243371258681916,2585
65-69,female,2021-10-09,6085,0.0012630549753378706,8
65-69,male,2021-10-09,9844,0.15822656728314974,1558
70-74,female,2021-10-09,6254,0,0
70-74,male,2021-10-09,10117,0.08207643801373006,830
75-79,female,2021-10-09,5817,0,0
75-79,male,2021-10-09,9411,0.047886934270099775,451
