"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-4","female",71.794004,109.982304,29
"2",2,"0-4","male",54.991152,178.721244,82
"3",3,"5-9","female",16.802852,22.91298,4
"4",4,"5-9","male",29.023108,36.660768,5
"5",5,"10-14","female",22.91298,33.605704,6
"6",6,"10-14","male",16.802852,53.46362,32
"7",7,"15-19","female",54.991152,84.01426,16
"8",8,"15-19","male",77.904132,134.422816,42
"9",9,"20-24","female",210.799416,238.294992,17
"10",10,"20-24","male",245.932652,386.465596,93
"11",11,"25-29","female",326.891848,473.53492,81
"12",12,"25-29","male",447.566876,766.821064,242
"13",13,"30-34","female",410.906108,808.064428,265
"14",14,"30-34","male",789.734044,1307.567392,318
"15",15,"35-39","female",595.73748,1435.88008,529
"16",16,"35-39","male",1280.071816,2321.84864,655
"17",17,"40-44","female",800.426768,2224.086592,967
"18",18,"40-44","male",2095.773904,3597.33786,1046
"19",19,"45-49","female",1098.295508,3021.458296,1276
"20",20,"45-49","male",2815.241476,4888.1024,1289
"21",21,"50-54","female",1892.612148,4492.471612,1694
"22",22,"50-54","male",4066.290184,7267.997256,2086
"23",23,"55-59","female",2786.218368,6547.002152,2569
"24",24,"55-59","male",6070.412168,10590.379356,2962
"25",25,"60-64","female",3959.362944,8346.434848,2799
"26",26,"60-64","male",7694.178684,13503.38288,3761
"27",27,"65-69","female",4810.198268,9295.03222,2933
"28",28,"65-69","male",9382.101544,15037.025008,3678
"29",29,"70-74","female",5144.727776,9553.185128,2898
"30",30,"70-74","male",10049.633028,15454.041244,3482
"31",31,"75-79","female",5231.7971,8885.653644,2378
"32",32,"75-79","male",9165.192,14375.603652,3542
"33",33,"80+","female",12938.19604,18295.250764,3477
"34",34,"80+","male",17960.721256,29597.460032,7604
