"","age","gender","date","deaths"
"1","0-4","female","2021-04-30",53
"2","0-4","male","2021-04-30",37
"3","5-9","female","2021-04-30",11
"4","5-9","male","2021-04-30",18
"5","10-14","female","2021-04-30",17
"6","10-14","male","2021-04-30",15
"7","15-19","female","2021-04-30",41
"8","15-19","male","2021-04-30",49
"9","20-24","female","2021-04-30",139
"10","20-24","male","2021-04-30",142
"11","25-29","female","2021-04-30",247
"12","25-29","male","2021-04-30",298
"13","30-34","female","2021-04-30",250
"14","30-34","male","2021-04-30",496
"15","35-39","female","2021-04-30",370
"16","35-39","male","2021-04-30",871
"17","40-44","female","2021-04-30",570
"18","40-44","male","2021-04-30",1390
"19","45-49","female","2021-04-30",670
"20","45-49","male","2021-04-30",1835
"21","50-54","female","2021-04-30",1231
"22","50-54","male","2021-04-30",2773
"23","55-59","female","2021-04-30",1826
"24","55-59","male","2021-04-30",3888
"25","60-64","female","2021-04-30",2557
"26","60-64","male","2021-04-30",5034
"27","65-69","female","2021-04-30",3126
"28","65-69","male","2021-04-30",6160
"29","70-74","female","2021-04-30",3313
"30","70-74","male","2021-04-30",6556
"31","75-79","female","2021-04-30",3556
"32","75-79","male","2021-04-30",5961
"33","80+","female","2021-04-30",8455
"34","80+","male","2021-04-30",11745
