"age","year","fertility_rate","date","gender"
"15-19","2015",0.073131993049366,"2015","F"
"20-24","2015",0.119599796001524,"2015","F"
"25-29","2015",0.100968420257288,"2015","F"
"30-34","2015",0.0726651985153414,"2015","F"
"35-39","2015",0.0414432994462115,"2015","F"
"40-44","2015",0.0140338972378163,"2015","F"
"45-49","2015",0.00229149254605575,"2015","F"
"50-54","2015",0.00016960614088275,"2015","F"
"55-59","2015",5.51739195762222e-05,"2015","F"
"60-64","2015",0.00539049400611211,"2015","F"
"15-19","2014",0.073131993049366,"2014","F"
"20-24","2014",0.119599796001524,"2014","F"
"25-29","2014",0.100968420257288,"2014","F"
"30-34","2014",0.0726651985153414,"2014","F"
"35-39","2014",0.0414432994462115,"2014","F"
"40-44","2014",0.0140338972378163,"2014","F"
"45-49","2014",0.00229149254605575,"2014","F"
"50-54","2014",0.00016960614088275,"2014","F"
"55-59","2014",5.51739195762222e-05,"2014","F"
"60-64","2014",0.00539049400611211,"2014","F"
"15-19","2013",0.073131993049366,"2013","F"
"20-24","2013",0.119599796001524,"2013","F"
"25-29","2013",0.100968420257288,"2013","F"
"30-34","2013",0.0726651985153414,"2013","F"
"35-39","2013",0.0414432994462115,"2013","F"
"40-44","2013",0.0140338972378163,"2013","F"
"45-49","2013",0.00229149254605575,"2013","F"
"50-54","2013",0.00016960614088275,"2013","F"
"55-59","2013",5.51739195762222e-05,"2013","F"
"60-64","2013",0.00539049400611211,"2013","F"
"15-19","2012",0.073131993049366,"2012","F"
"20-24","2012",0.119599796001524,"2012","F"
"25-29","2012",0.100968420257288,"2012","F"
"30-34","2012",0.0726651985153414,"2012","F"
"35-39","2012",0.0414432994462115,"2012","F"
"40-44","2012",0.0140338972378163,"2012","F"
"45-49","2012",0.00229149254605575,"2012","F"
"50-54","2012",0.00016960614088275,"2012","F"
"55-59","2012",5.51739195762222e-05,"2012","F"
"60-64","2012",0.00539049400611211,"2012","F"
"15-19","2011",0.073131993049366,"2011","F"
"20-24","2011",0.119599796001524,"2011","F"
"25-29","2011",0.100968420257288,"2011","F"
"30-34","2011",0.0726651985153414,"2011","F"
"35-39","2011",0.0414432994462115,"2011","F"
"40-44","2011",0.0140338972378163,"2011","F"
"45-49","2011",0.00229149254605575,"2011","F"
"50-54","2011",0.00016960614088275,"2011","F"
"55-59","2011",5.51739195762222e-05,"2011","F"
"60-64","2011",0.00539049400611211,"2011","F"
