"","age","gender","deaths.x","deaths.y","deaths"
"1","0-4","female",71.794004,109.982304,25
"2","0-4","male",54.991152,178.721244,81
"3","5-9","female",16.802852,22.91298,4
"4","5-9","male",29.023108,36.660768,5
"5","10-14","female",22.91298,33.605704,7
"6","10-14","male",16.802852,53.46362,24
"7","15-19","female",54.991152,84.01426,19
"8","15-19","male",77.904132,135.950348,38
"9","20-24","female",210.799416,239.822524,19
"10","20-24","male",245.932652,387.993128,93
"11","25-29","female",326.891848,476.589984,98
"12","25-29","male",447.566876,771.40366,212
"13","30-34","female",410.906108,812.647024,263
"14","30-34","male",789.734044,1315.205052,344
"15","35-39","female",595.73748,1443.51774,555
"16","35-39","male",1280.071816,2335.596428,691
"17","40-44","female",800.426768,2236.306848,940
"18","40-44","male",2095.773904,3617.195776,996
"19","45-49","female",1098.295508,3038.261148,1270
"20","45-49","male",2815.241476,4914.070444,1374
"21","50-54","female",1892.612148,4516.912124,1718
"22","50-54","male",4066.290184,7309.24062,2123
"23","55-59","female",2786.218368,6582.135388,2485
"24","55-59","male",6070.412168,10649.953104,2998
"25","60-64","female",3959.362944,8393.78834,2903
"26","60-64","male",7694.178684,13578.231948,3852
"27","65-69","female",4810.198268,9345.440776,2969
"28","65-69","male",9382.101544,15119.511736,3756
"29","70-74","female",5144.727776,9605.121216,2920
"30","70-74","male",10049.633028,15539.583036,3594
"31","75-79","female",5231.7971,8934.534668,2424
"32","75-79","male",9165.192,14453.507784,3462
"33","80+","female",12938.19604,18394.540344,3572
"34","80+","male",17960.721256,29760.905956,7725
