"","age","gender","date","deaths"
"1","0-4","male","2021-10-09",126
"2","5-9","male","2021-10-09",25
"3","10-14","male","2021-10-09",36
"4","15-19","male","2021-10-09",86
"5","20-24","male","2021-10-09",261
"6","25-29","male","2021-10-09",534
"7","30-34","male","2021-10-09",882
"8","35-39","male","2021-10-09",1511
"9","40-44","male","2021-10-09",2449
"10","45-49","male","2021-10-09",3241
"11","50-54","male","2021-10-09",4918
"12","55-59","male","2021-10-09",6962
"13","60-64","male","2021-10-09",8733
"14","65-69","male","2021-10-09",9756
"15","70-74","male","2021-10-09",10015
"16","75-79","male","2021-10-09",9524
"17","80-84","male","2021-10-09",8854
"18","85+","male","2021-10-09",10761
"19","0-4","female","2021-10-09",56
"20","5-9","female","2021-10-09",14
"21","10-14","female","2021-10-09",10
"22","15-19","female","2021-10-09",56
"23","20-24","female","2021-10-09",156
"24","25-29","female","2021-10-09",323
"25","30-34","female","2021-10-09",513
"26","35-39","female","2021-10-09",911
"27","40-44","female","2021-10-09",1489
"28","45-49","female","2021-10-09",1960
"29","50-54","female","2021-10-09",2953
"30","55-59","female","2021-10-09",4224
"31","60-64","female","2021-10-09",5443
"32","65-69","female","2021-10-09",6260
"33","70-74","female","2021-10-09",6214
"34","75-79","female","2021-10-09",5805
"35","80-84","female","2021-10-09",5348
"36","85+","female","2021-10-09",6578
