country,date,gender,age,COVID19_deaths
SouthAfrica,2021-02-28,Female,0-9,73
SouthAfrica,2021-02-28,Female,10-19,93
SouthAfrica,2021-02-28,Female,20-29,455
SouthAfrica,2021-02-28,Female,30-39,1532
SouthAfrica,2021-02-28,Female,40-49,2843
SouthAfrica,2021-02-28,Female,50-59,5657
SouthAfrica,2021-02-28,Female,60-69,7577
SouthAfrica,2021-02-28,Female,70-79,5640
SouthAfrica,2021-02-28,Female,80+,3577
SouthAfrica,2021-02-28,Male,0-9,67
SouthAfrica,2021-02-28,Male,10-19,86
SouthAfrica,2021-02-28,Male,20-29,419
SouthAfrica,2021-02-28,Male,30-39,1247
SouthAfrica,2021-02-28,Male,40-49,2920
SouthAfrica,2021-02-28,Male,50-59,5504
SouthAfrica,2021-02-28,Male,60-69,7381
SouthAfrica,2021-02-28,Male,70-79,5284
SouthAfrica,2021-02-28,Male,80+,2490
