X0.years,X1.years,X2.years,X3.years,X4.years,X5.years,X6.years,X7.years,X8.years,X9.years,X10.years,X11.years,X12.years,X13.years,X14.years,X15.years,X16.years,X17.years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0010228839146089158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0010228839146089158,0.0010228173019518536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0010228839146089158,0.0010228173019518536,0.001022698528605767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0010228839146089158,0.0010228173019518536,0.001022698528605767,0.001022552409800714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0010228839146089158,0.0010228173019518536,0.001022698528605767,0.001022552409800714,0.0010224058518236406,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013855158116909334,0.0010228173019518536,0.001022698528605767,0.001022552409800714,0.0010224058518236406,0.0010260935970770975,0,0,0,0,0,0,0,0,0,0,0,0
0.013855158116909334,0.01385425583573842,0.001022698528605767,0.001022552409800714,0.0010224058518236406,0.0010260935970770975,0.0011229778178463601,0,0,0,0,0,0,0,0,0,0,0
