age,gender,deaths
0-9,Male,5
10-19,Male,6
20-29,Male,65
30-39,Male,205
40-49,Male,579
50-59,Male,2432
60-69,Male,6173
70-79,Male,12654
80-89,Male,21527
90+,Male,6874
0-9,Female,11
10-19,Female,7
20-29,Female,36
30-39,Female,100
40-49,Female,280
50-59,Female,991
60-69,Female,2737
70-79,Female,7230
80-89,Female,20702
90+,Female,13120
