"0 years","1 years","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years"
0.000546,0.000546,0.000546,0.000546,0.000546,0.01324,0.00947,0.00947,0.00947,0.00947,0.052813,0.041722,0.041722,0.041722,0.041722,0.087708,0.07954,0.07954
0,0.000546,0.000546,0.000546,0.000546,0.000546,0.00947,0.00947,0.00947,0.00947,0.00947,0.041722,0.041722,0.041722,0.041722,0.041722,0.07954,0.07954
0,0,0.000546,0.000546,0.000546,0.000546,0.000405,0.00947,0.00947,0.00947,0.00947,0.007229,0.041722,0.041722,0.041722,0.041722,0.032669,0.07954
0,0,0,0.000546,0.000546,0.000546,0.000405,0.000405,0.00947,0.00947,0.00947,0.007229,0.007229,0.041722,0.041722,0.041722,0.032669,0.032669
0,0,0,0,0.000546,0.000546,0.000405,0.000405,0.000405,0.00947,0.00947,0.007229,0.007229,0.007229,0.041722,0.041722,0.032669,0.032669
0,0,0,0,0,0.000546,0.000405,0.000405,0.000405,0.000405,0.00947,0.007229,0.007229,0.007229,0.007229,0.041722,0.032669,0.032669
0,0,0,0,0,0,0.000405,0.000405,0.000405,0.000405,0.000405,0.007229,0.007229,0.007229,0.007229,0.007229,0.032669,0.032669
0,0,0,0,0,0,0,0.000405,0.000405,0.000405,0.000405,0.000286,0.007229,0.007229,0.007229,0.007229,0.005197,0.032669
0,0,0,0,0,0,0,0,0.000405,0.000405,0.000405,0.000286,0.000286,0.007229,0.007229,0.007229,0.005197,0.005197
0,0,0,0,0,0,0,0,0,0.000405,0.000405,0.000286,0.000286,0.000286,0.007229,0.007229,0.005197,0.005197
0,0,0,0,0,0,0,0,0,0,0.000405,0.000286,0.000286,0.000286,0.000286,0.007229,0.005197,0.005197
0,0,0,0,0,0,0,0,0,0,0,0.000286,0.000286,0.000286,0.000286,0.000286,0.005197,0.005197
0,0,0,0,0,0,0,0,0,0,0,0,0.000286,0.000286,0.000286,0.000286,0.000195,0.005197
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000286,0.000286,0.000286,0.000195,0.000195
