"","age","gender","deaths"
"1","0-9","Male",5
"2","10-19","Male",6
"3","20-29","Male",59
"4","30-39","Male",183
"5","40-49","Male",542
"6","50-59","Male",2375
"7","60-69","Male",6180
"8","70-79","Male",12461
"9","80-89","Male",21220
"10","90+","Male",6852
"11","0-9","Female",12
"12","10-19","Female",3
"13","20-29","Female",28
"14","30-39","Female",92
"15","40-49","Female",305
"16","50-59","Female",929
"17","60-69","Female",2548
"18","70-79","Female",7053
"19","80-89","Female",20786
"20","90+","Female",13068
