Period,age,fertility_rate,country,gender,date
2000-2005,15-19,12.24323162870649,Germany,Female,2003
2000-2005,15-19,12.333046471600689,Germany,Female,2004
2005-2010,15-19,9.769364664926023,Germany,Female,2005
2005-2010,15-19,9.72851476421331,Germany,Female,2006
2005-2010,15-19,9.699414150518251,Germany,Female,2007
2005-2010,15-19,9.728876508820798,Germany,Female,2008
2005-2010,15-19,9.751793400286944,Germany,Female,2009
2010-2015,15-19,8.00343137254902,Germany,Female,2010
2010-2015,15-19,8.147946561108363,Germany,Female,2011
2010-2015,15-19,8.112376237623762,Germany,Female,2012
2010-2015,15-19,7.921182266009852,Germany,Female,2013
2010-2015,15-19,7.969087340529931,Germany,Female,2014
2015-2020,15-19,8.030451866404714,Germany,Female,2015
2015-2020,15-19,8.138219380226266,Germany,Female,2016
2015-2020,15-19,8.079584775086506,Germany,Female,2017
2015-2020,15-19,8.046360917248256,Germany,Female,2018
2015-2020,15-19,8.200301962757926,Germany,Female,2019
2000-2005,20-24,52.44880174291939,Germany,Female,2003
2000-2005,20-24,52.49957118353345,Germany,Female,2004
2005-2010,20-24,43.340254237288136,Germany,Female,2005
2005-2010,20-24,43.222549432057214,Germany,Female,2006
2005-2010,20-24,43.27710339053998,Germany,Female,2007
2005-2010,20-24,43.23035117056856,Germany,Female,2008
2005-2010,20-24,43.16911456147713,Germany,Female,2009
2010-2015,20-24,36.54957627118644,Germany,Female,2010
2010-2015,20-24,36.58186506231199,Germany,Female,2011
2010-2015,20-24,36.69166666666667,Germany,Female,2012
2010-2015,20-24,36.759425493716336,Germany,Female,2013
2010-2015,20-24,36.68575355016033,Germany,Female,2014
2015-2020,20-24,36.3347260909935,Germany,Female,2015
2015-2020,20-24,36.25268065268065,Germany,Female,2016
2015-2020,20-24,36.314126394052046,Germany,Female,2017
2015-2020,20-24,36.38319482917821,Germany,Female,2018
2015-2020,20-24,36.440919540229885,Germany,Female,2019
2000-2005,25-29,88.03907946157186,Germany,Female,2003
2000-2005,25-29,88.13376344086022,Germany,Female,2004
2005-2010,25-29,82.63972777541471,Germany,Female,2005
2005-2010,25-29,82.8615711252654,Germany,Female,2006
2005-2010,25-29,82.61522198731501,Germany,Female,2007
2005-2010,25-29,81.96937919463087,Germany,Female,2008
2005-2010,25-29,82.73059360730593,Germany,Female,2009
2010-2015,25-29,80.14238818219121,Germany,Female,2010
2010-2015,25-29,80.4280487804878,Germany,Female,2011
2010-2015,25-29,80.52521177894312,Germany,Female,2012
2010-2015,25-29,80.8859437751004,Germany,Female,2013
2010-2015,25-29,80.37429718875502,Germany,Female,2014
2015-2020,25-29,82.12151796528057,Germany,Female,2015
2015-2020,25-29,82.30997963340123,Germany,Female,2016
2015-2020,25-29,82.11414392059554,Germany,Female,2017
2015-2020,25-29,82.41002949852508,Germany,Female,2018
2015-2020,25-29,82.33619210977702,Germany,Female,2019
2000-2005,30-34,79.8131946934385,Germany,Female,2003
