"","age","gender","deaths"
"1","0-9","Male",7
"2","10-19","Male",1
"3","20-29","Male",50
"4","30-39","Male",121
"5","40-49","Male",344
"6","50-59","Male",1699
"7","60-69","Male",4774
"8","70-79","Male",10627
"9","80-89","Male",19518
"10","90+","Male",6244
"11","0-9","Female",8
"12","10-19","Female",0
"13","20-29","Female",29
"14","30-39","Female",67
"15","40-49","Female",158
"16","50-59","Female",743
"17","60-69","Female",2100
"18","70-79","Female",6020
"19","80-89","Female",18616
"20","90+","Female",12211
