"age","gender","deaths"
"0-9","Male",3
"10-19","Male",5
"20-29","Male",43
"30-39","Male",117
"40-49","Male",354
"50-59","Male",1706
"60-69","Male",4804
"70-79","Male",10613
"80-89","Male",19296
"90+","Male",6253
"0-9","Female",8
"10-19","Female",2
"20-29","Female",24
"30-39","Female",64
"40-49","Female",175
"50-59","Female",717
"60-69","Female",2101
"70-79","Female",5948
"80-89","Female",18741
"90+","Female",12124
