,0-14,15,16,17,total,,0-4,05-Sep,Oct-17
Brazil,44693466,3313191,3369227,3416740,54792624,,14289993,14714050,25788581
Germany,10327912,704658,718440,729103,12480113,,3460719,3430588,5588806
India,345054167,23311903,23369575,23383782,415119427,,114062410,115095798,185961219
USA,61408926,4180890,4197186,4179617,73966619,,20438539,20200409,33327671
Iran (Islamic Republic of),20465581,1213435,1186620,1144552,24010188,,7124462,6960206,9925520
Russia,24455821,1478151,1487678,1435422,28857072,,7664793,8624471,12567808
Argentina,10918547,725765,717189,694957,13056458,,3648544,3701951,5705963
Spain,7029476,490042,484471,473270,8477259,,2071347,2401324,4004588
England & Wales,42403844,658280,640608,632385,13759620,,3465179,3721990,6572451
Colombia,12229048,782769,781472,784667,14577956,,4136344,4100716,6340896
Mexico,33463964,2211931,2210318,2205576,40091789,,11212986,11168894,17709909
Peru,8070696,536413,536896,538953,9682958,,2669756,2700465,4312737
South Africa,15749219,969655,957861,946826,18623561,,5321496,5302340,7999725
Poland,5670444,355221,348536,347178,6721379,,1789493,1928940,3002946
Italy,8389254,593267,593834,587522,10163877,,2661298,2795721,4706858
France,12450736,823068,817359,814874,14906037,,4070454,4179215,6656368
Kenya,20708963,1306572,1260260,1211762,24487557,,6946747,6884385,10656425
Nigeria,89214812,5061242,4948701,4797826,104022581,,32853696,29455644,41713241
Malawi,8140179,489686,472611,455923,9558399,,2770422,2714719,4073258
Zimbabwe,5670524,319547,314404,311865,6616340,,2163878,1794429,2658033
Philippines,35363196,2237816,2207697,2179114,41987823,,12073148,11783143,18131532
