"week","year","spain","france","italy","poland","uk","age","gender"
1,2020,-7.8,-8.4,-2,-8,1,"0-5","M"
1,2021,-4.8,-1.4,-4,-7,NA,"0-5","M"
2,2020,-4,0.600000000000001,2.4,0.399999999999999,-10.6,"0-5","M"
2,2021,-10,-7.4,-4.6,-9.6,NA,"0-5","M"
3,2020,1.6,-7.4,-4.8,-1.8,6.8,"0-5","M"
3,2021,-5.4,-0.399999999999999,-12.8,5.2,NA,"0-5","M"
4,2020,5.4,-8.6,1.2,1.2,-1,"0-5","M"
4,2021,-3.6,-10.6,-3.8,4.2,NA,"0-5","M"
5,2020,0.199999999999999,1.6,-0.4,-2.4,-12,"0-5","M"
5,2021,-5.8,-17.4,-3.4,3.6,NA,"0-5","M"
6,2020,3.2,3,-1.8,-0.800000000000001,-19.8,"0-5","M"
6,2021,-3.8,2,-6.8,1.2,NA,"0-5","M"
7,2020,3.2,3.4,-4,3,4,"0-5","M"
7,2021,0.199999999999999,-12.6,-8,-1,NA,"0-5","M"
8,2020,2.6,9.2,-1,-2,4.6,"0-5","M"
8,2021,2.6,-3.8,-1,3,NA,"0-5","M"
9,2020,-2.6,-2.4,1.4,-5.6,1.8,"0-5","M"
9,2021,-1.6,0.600000000000001,NA,-1.6,NA,"0-5","M"
10,2020,3.2,-11,-5.2,-0.199999999999999,2.6,"0-5","M"
10,2021,2.2,0,NA,3.8,NA,"0-5","M"
11,2020,-2,-7,-5.6,3.4,-3.8,"0-5","M"
11,2021,-3,-8,NA,-1.6,NA,"0-5","M"
12,2020,0.800000000000001,-9.2,4.4,-4.6,-6.6,"0-5","M"
12,2021,-2.2,-0.200000000000003,NA,-3.6,NA,"0-5","M"
13,2020,-6.4,0.600000000000001,-8.2,-3.2,-1.6,"0-5","M"
13,2021,NA,-2.4,NA,-1.2,NA,"0-5","M"
14,2020,-4.4,-14.6,4,-1,-4.2,"0-5","M"
14,2021,NA,-10.6,NA,-3,NA,"0-5","M"
15,2020,2.4,-5.8,-7,8,1,"0-5","M"
15,2021,NA,-3.8,NA,2,NA,"0-5","M"
16,2020,10.2,-12.8,3.6,4.6,-12,"0-5","M"
16,2021,NA,-12.8,NA,1.6,NA,"0-5","M"
17,2020,-2.4,-11.6,-3.4,-0.399999999999999,3,"0-5","M"
17,2021,NA,NA,NA,-2.4,NA,"0-5","M"
18,2020,-8.2,-0.399999999999999,4.8,3.8,-2.6,"0-5","M"
18,2021,NA,NA,NA,-2.2,NA,"0-5","M"
19,2020,2.4,-15.8,-9,4,-13.8,"0-5","M"
20,2020,-5.6,7.4,-2.2,2.8,4.8,"0-5","M"
21,2020,-12.4,-7.2,-9.6,3.4,-7.6,"0-5","M"
22,2020,5.6,-3.4,6.2,-8.8,-3.6,"0-5","M"
23,2020,2.8,-7.4,-11.8,0.199999999999999,-15,"0-5","M"
24,2020,1,-15,-3.8,-0.800000000000001,-4,"0-5","M"
25,2020,-2.2,-4.4,-1,-1,-2.2,"0-5","M"
26,2020,-4.4,-1.6,-2.4,2.6,-1,"0-5","M"
27,2020,-4.2,-4.6,-3.8,-3.8,-5.4,"0-5","M"
28,2020,-4.8,-5.4,-1.6,0.399999999999999,0.200000000000003,"0-5","M"
29,2020,-3,5.2,-7.2,-0.199999999999999,-13,"0-5","M"
30,2020,7,2.2,-9.6,-2.6,-1.8,"0-5","M"
31,2020,2.6,0.200000000000003,-3.2,-0.199999999999999,-0.399999999999999,"0-5","M"
32,2020,1.2,-1.8,-4.4,0.600000000000001,-10.4,"0-5","M"
33,2020,-8.6,-9.4,-11.2,-7.2,-10.8,"0-5","M"
34,2020,-4,-3,-0.399999999999999,-6.4,6.4,"0-5","M"
35,2020,4.6,-13.2,-0.800000000000001,-4.8,-5.4,"0-5","M"
36,2020,-7.2,-8.8,0.399999999999999,-5.6,-12.8,"0-5","M"
37,2020,-5,-6.2,-7.6,-0.600000000000001,-9,"0-5","M"
38,2020,4,-14.6,1.4,2.4,-19.8,"0-5","M"
39,2020,6.8,-4,-9.8,1.2,-2.2,"0-5","M"
40,2020,-4.8,-19.6,0,4,-0.600000000000001,"0-5","M"
41,2020,-0.6,-1.2,-6.4,-7.4,-2.4,"0-5","M"
