"week","year","spain","france","italy","poland","age","gender"
1,2020,-6.8,-8.4,-2,-9.2,"0-5","M"
1,2021,-4.8,-1.4,-2,-8.2,"0-5","M"
2,2020,-4,0.600000000000001,2.4,-0.800000000000001,"0-5","M"
2,2021,-10,-7.4,-3.6,-9.8,"0-5","M"
3,2020,-1.4,-7.4,-4.8,-3,"0-5","M"
3,2021,-5.4,-0.399999999999999,-9.8,4,"0-5","M"
4,2020,1.4,-8.6,1.2,0.399999999999999,"0-5","M"
4,2021,-3.6,-9.6,-1.8,4.4,"0-5","M"
5,2020,-3.8,1.6,-0.4,-6,"0-5","M"
5,2021,-5.8,-17.4,-1.4,1,"0-5","M"
6,2020,3.2,3,-1.8,-5,"0-5","M"
6,2021,-3.8,2,-6.8,-3,"0-5","M"
7,2020,-2.8,3.4,-4,0.800000000000001,"0-5","M"
7,2021,0.199999999999999,-12.6,-7,-3.2,"0-5","M"
8,2020,-0.4,9.2,-1,-6.8,"0-5","M"
8,2021,2.6,-3.8,2,-1.8,"0-5","M"
9,2020,-5.6,-2.4,1.4,-6,"0-5","M"
9,2021,-1.6,0.600000000000001,-1.6,-2,"0-5","M"
10,2020,-0.800000000000001,-11,-5.2,-5.4,"0-5","M"
10,2021,2.2,1,-7.2,-1.4,"0-5","M"
11,2020,-4,-7,-5.6,-1.6,"0-5","M"
11,2021,-1,-8,-8.6,-6.6,"0-5","M"
12,2020,-1.2,-9.2,4.4,-5.4,"0-5","M"
12,2021,-0.199999999999999,-0.200000000000003,-6.6,-4.4,"0-5","M"
13,2020,-7.4,0.600000000000001,-8.2,-3.6,"0-5","M"
13,2021,-3.4,-2.4,-5.2,-1.6,"0-5","M"
14,2020,-6.4,-14.6,4,-0.800000000000001,"0-5","M"
14,2021,-2.4,-10.6,-3,-4.8,"0-5","M"
15,2020,-1.6,-5.8,-7,-1.8,"0-5","M"
15,2021,-2.6,-1.8,-4,-8.8,"0-5","M"
16,2020,0.199999999999999,-12.8,3.6,-1.2,"0-5","M"
16,2021,-1.8,-12.8,-6.4,-4.2,"0-5","M"
17,2020,-5.4,-11.6,-3.4,-2.8,"0-5","M"
17,2021,-2.4,-2.6,-4.4,-4.8,"0-5","M"
18,2020,-11.2,-0.399999999999999,4.8,2.8,"0-5","M"
18,2021,-1.2,-6.4,-8.2,1.8,"0-5","M"
19,2020,-3.6,-15.8,-9,3.8,"0-5","M"
19,2021,-3.6,-1.8,-6,-1.2,"0-5","M"
20,2020,-7.6,7.4,-2.2,0.800000000000001,"0-5","M"
20,2021,-2.6,-13.6,3.8,0.800000000000001,"0-5","M"
21,2020,-12.4,-7.2,-9.6,1.6,"0-5","M"
21,2021,-7.4,-11.2,-4.6,-0.399999999999999,"0-5","M"
22,2020,-0.4,-3.4,6.2,-7.8,"0-5","M"
22,2021,-2.4,1.6,-4.8,6.2,"0-5","M"
23,2020,-0.199999999999999,-7.4,-11.8,-1.6,"0-5","M"
23,2021,-2.2,-4.4,-12.8,-10.6,"0-5","M"
24,2020,-5,-15,-3.8,-1,"0-5","M"
24,2021,-7,7,-9.8,0,"0-5","M"
25,2020,-9.2,-4.4,-1,-6.4,"0-5","M"
25,2021,5.8,3.6,-9,-4.4,"0-5","M"
26,2020,-6.4,-1.6,-2.4,2.2,"0-5","M"
26,2021,-3.4,4.4,-3.4,-6.8,"0-5","M"
27,2020,-7.2,-4.6,-3.8,-6.2,"0-5","M"
27,2021,3.8,-5.6,-4.8,-4.2,"0-5","M"
28,2020,-5.8,-5.4,-1.6,-1,"0-5","M"
28,2021,-1.8,-1.4,-5.6,-9,"0-5","M"
29,2020,-6,5.2,-7.2,0.800000000000001,"0-5","M"
29,2021,-8,-5.8,-9.2,0.800000000000001,"0-5","M"
30,2020,3,2.2,-9.6,-3,"0-5","M"
30,2021,-4,7.2,-3.6,4,"0-5","M"
31,2020,-0.4,1.2,-3.2,2.2,"0-5","M"
31,2021,0.6,0.200000000000003,NA,-3.8,"0-5","M"
32,2020,-2.8,-1.8,-4.4,-1.8,"0-5","M"
32,2021,1.2,-4.8,NA,-2.8,"0-5","M"
33,2020,-9.6,-9.4,-11.2,-1.4,"0-5","M"
33,2021,2.4,-2.4,NA,2.6,"0-5","M"
34,2020,-3,-3,-0.399999999999999,-9.6,"0-5","M"
34,2021,7,-5,NA,-7.6,"0-5","M"
35,2020,-1.4,-13.2,-0.800000000000001,-7.4,"0-5","M"
35,2021,0.6,-13.2,NA,-4.4,"0-5","M"
36,2020,-9.2,-8.8,0.399999999999999,-9.2,"0-5","M"
36,2021,-4.2,-9.8,NA,-1.2,"0-5","M"
37,2020,-5,-6.2,-7.6,0.399999999999999,"0-5","M"
37,2021,2,-1.2,NA,NA,"0-5","M"
38,2020,0,-14.6,1.4,-3.4,"0-5","M"
38,2021,-3,NA,NA,NA,"0-5","M"
39,2020,0.800000000000001,-4,-9.8,-0.800000000000001,"0-5","M"
40,2020,-5.8,-19.6,0,-0.600000000000001,"0-5","M"
41,2020,-2.6,-1.2,-6.4,-8.8,"0-5","M"
42,2020,-3.2,-10.2,-6.4,3.4,"0-5","M"
43,2020,-8,0.399999999999999,-2.4,-2,"0-5","M"
44,2020,-7.8,-13.2,-9.2,2.4,"0-5","M"
45,2020,-6,3.2,-13.6,-11,"0-5","M"
46,2020,-4,-15.2,-5.4,-6.2,"0-5","M"
47,2020,-5.8,-5.6,-5.2,-3.2,"0-5","M"
48,2020,-11,-8,-2.4,-4,"0-5","M"
49,2020,-3.4,0.399999999999999,0.199999999999999,1.2,"0-5","M"
50,2020,-4.4,0.799999999999997,-4.2,-2,"0-5","M"
51,2020,2,-4.2,-7.4,-6,"0-5","M"
52,2020,-3.8,-12.2,-15.4,0.600000000000001,"0-5","M"
53,2020,-3,4,-6,-4,"0-5","M"
1,2020,-5.2,-5.2,-6.8,-4.4,"0-5","F"
1,2021,-7.2,-12.2,-2.8,-2.4,"0-5","F"
2,2020,-0.199999999999999,0,-7.4,1.2,"0-5","F"
2,2021,-5.2,-10,-5.4,2.2,"0-5","F"
3,2020,-3.4,-5.6,-1.4,-12.6,"0-5","F"
3,2021,-0.4,-9.6,-5.4,-4.6,"0-5","F"
4,2020,-4.4,5.4,1,1.2,"0-5","F"
4,2021,-6.4,-4.6,-4,-1.8,"0-5","F"
5,2020,2,-10.8,1.4,5.8,"0-5","F"
5,2021,0,-12.8,-4.6,-0.199999999999999,"0-5","F"
6,2020,-0.199999999999999,-11.2,-1.8,-5.4,"0-5","F"
6,2021,-2.2,-13.2,-6.8,-8.4,"0-5","F"
7,2020,-7.6,-6.8,1.6,-2.6,"0-5","F"
7,2021,-5.6,-2.8,1.6,-1.6,"0-5","F"
8,2020,-2,-6,-1.8,-0.800000000000001,"0-5","F"
8,2021,-6,-11,-8.8,-0.800000000000001,"0-5","F"
9,2020,-1,-4.2,-11.8,8.4,"0-5","F"
9,2021,-5,-5.2,-3.8,-5.6,"0-5","F"
10,2020,-1,-3.4,6,0.800000000000001,"0-5","F"
10,2021,-4,-5.4,-4,-2.2,"0-5","F"
11,2020,-2,3.4,-0.199999999999999,-11.8,"0-5","F"
11,2021,2,-10.6,-8.2,0.199999999999999,"0-5","F"
12,2020,-5.2,-7.8,1.4,-9.4,"0-5","F"
12,2021,-2.2,8.2,-5.6,-6.4,"0-5","F"
13,2020,-8,1.6,-8.8,-3.6,"0-5","F"
13,2021,-4,-4.4,-6.8,-3.6,"0-5","F"
14,2020,-2,-13.6,-1.8,-2.4,"0-5","F"
14,2021,-2,-11.6,-1.8,1.6,"0-5","F"
15,2020,1.2,-5,-2.8,-4,"0-5","F"
15,2021,-5.8,-1,-5.8,0,"0-5","F"
16,2020,-5,2.6,-2.8,-6.8,"0-5","F"
16,2021,1,-1.4,-4.8,-5.8,"0-5","F"
17,2020,-2.6,-3.8,1.6,-4,"0-5","F"
17,2021,-1.6,14.2,-3.4,-6,"0-5","F"
18,2020,-6.2,-6,-4.6,4,"0-5","F"
18,2021,-3.2,-1,-8.6,1,"0-5","F"
19,2020,-1.4,-1.2,-2.2,-3.6,"0-5","F"
19,2021,1.6,-12.2,-3.2,-3.6,"0-5","F"
20,2020,-4,0,2.4,-1.2,"0-5","F"
20,2021,2,-7,-5.6,7.8,"0-5","F"
21,2020,-4.8,-9.8,-3.8,-6.4,"0-5","F"
21,2021,-2.8,-8.8,-2.8,-2.4,"0-5","F"
22,2020,-1.2,-4.4,-7.6,-2,"0-5","F"
22,2021,3.8,1.6,-10.6,-4,"0-5","F"
23,2020,-0.4,3.8,0.800000000000001,-3.8,"0-5","F"
