"X0.years","X1.years","X2.years","X3.years","X4.years","X5.years","X6.years","X7.years","X8.years","X9.years","X10.years","X11.years","X12.years","X13.years","X14.years","X15.years","X16.years","X17.years"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0400337488542621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0400337488542621,0.0400294672293288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0400337488542621,0.0400294672293288,0.0400179944907283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0400337488542621,0.0400294672293288,0.0400179944907283,0.0400020037220844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0400337488542621,0.0400294672293288,0.0400179944907283,0.0400020037220844,0.0399861721068249,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0879806531360482,0.0400294672293288,0.0400179944907283,0.0400020037220844,0.0399861721068249,0.0405828118478086,0,0,0,0,0,0,0,0,0,0,0,0
