"age","gender","date","COVID19_deaths","rate","deaths","nb_c","orphans"
"00-19","female","2021-10-09",0,0,0,0.0577357839863416,0
"00-19","male","2021-10-09",138.0678,0.00121760874867669,141,0.0117340500593709,2
"20-39","female","2021-10-09",1440.1184,0.012700287561403,1473,1.36183683911226,2006
"20-39","male","2021-10-09",1918.8468,0.0169221545577627,1962,1.16251421508562,2281
"40-59","female","2021-10-09",7544.25,0.0665321298825948,7714,0.630078362555659,4860
"40-59","male","2021-10-09",13863.3462,0.122259727605233,14176,1.21840475170168,17272
"60+","female","2021-10-09",38657.0004,0.340912956421688,39529,0.00247116509125635,98
"60+","male","2021-10-09",49830.9525,0.439455135222642,50955,0.0738127816943052,3761
