"age","gender","deaths.x","deaths.y","deaths"
"0-19","Male",81,141,60
"0-19","Female",0,0,0
"20-39","Male",794,1962,1168
"20-39","Female",528,1473,945
"40-59","Male",5900,14176,8276
"40-59","Female",2992,7714,4722
"60+","Male",30253,50955,20702
"60+","Female",23316,39529,16213
