age,gender,COVID19_deaths,nb_orphans
0-19,Female,21,2
0-19,Male,26,0
20-49,Female,219,614
20-49,Male,297,917
50-69,Female,383,188
50-69,Male,1144,3355
70+,Female,208,0
70+,Male,599,485
