"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-4","Male",3,4,1
"2",2,"05-Sep","Male",3,4,0
"3",3,"Oct-14","Male",7,9,2
"4",4,"15-19","Male",7,9,2
"5",5,"20-24","Male",20,26,6
"6",6,"25-29","Male",34,44,10
"7",7,"30-34","Male",34,46,12
"8",8,"35-39","Male",7,9,3
"9",9,"40-44","Male",7,9,1
"10",10,"45-49","Male",103,139,34
"11",11,"50-54","Male",172,226,58
"12",12,"55-59","Male",182,240,52
"13",13,"60-64","Male",253,339,80
"14",14,"65-69","Male",187,249,60
"15",15,"70-74","Male",182,246,84
"16",16,"75-79","Male",122,160,33
"17",17,"80-84","Male",87,116,19
"18",18,"85+","Male",54,74,20
"19",19,"0-4","Female",3,4,1
"20",20,"05-Sep","Female",4,5,0
"21",21,"Oct-14","Female",3,4,0
"22",22,"15-19","Female",7,9,1
"23",23,"20-24","Female",9,16,12
"24",24,"25-29","Female",19,26,14
"25",25,"30-34","Female",21,30,16
"26",26,"35-39","Female",29,40,12
"27",27,"40-44","Female",28,37,6
"28",28,"45-49","Female",41,51,7
"29",29,"50-54","Female",69,90,25
"30",30,"55-59","Female",73,98,21
"31",31,"60-64","Female",73,98,26
"32",32,"65-69","Female",61,82,19
"33",33,"70-74","Female",46,60,21
"34",34,"75-79","Female",42,56,11
"35",35,"80-84","Female",41,53,8
"36",36,"85+","Female",32,40,9
