"","country","date","age","gender","deaths"
"1","Nigeria","2021-10-09","0-4","Male",9
"2","Nigeria","2021-10-09","05-Sep","Male",3
"3","Nigeria","2021-10-09","Oct-14","Male",9
"4","Nigeria","2021-10-09","15-19","Male",12
"5","Nigeria","2021-10-09","20-24","Male",31
"6","Nigeria","2021-10-09","25-29","Male",39
"7","Nigeria","2021-10-09","30-34","Male",46
"8","Nigeria","2021-10-09","35-39","Male",6
"9","Nigeria","2021-10-09","40-44","Male",11
"10","Nigeria","2021-10-09","45-49","Male",150
"11","Nigeria","2021-10-09","50-54","Male",222
"12","Nigeria","2021-10-09","55-59","Male",214
"13","Nigeria","2021-10-09","60-64","Male",378
"14","Nigeria","2021-10-09","65-69","Male",274
"15","Nigeria","2021-10-09","70-74","Male",245
"16","Nigeria","2021-10-09","75-79","Male",181
"17","Nigeria","2021-10-09","80-84","Male",119
"18","Nigeria","2021-10-09","85+","Male",65
"19","Nigeria","2021-10-09","0-4","Female",6
"20","Nigeria","2021-10-09","05-Sep","Female",4
"21","Nigeria","2021-10-09","Oct-14","Female",7
"22","Nigeria","2021-10-09","15-19","Female",12
"23","Nigeria","2021-10-09","20-24","Female",14
"24","Nigeria","2021-10-09","25-29","Female",24
"25","Nigeria","2021-10-09","30-34","Female",31
"26","Nigeria","2021-10-09","35-39","Female",45
"27","Nigeria","2021-10-09","40-44","Female",33
"28","Nigeria","2021-10-09","45-49","Female",37
"29","Nigeria","2021-10-09","50-54","Female",96
"30","Nigeria","2021-10-09","55-59","Female",118
"31","Nigeria","2021-10-09","60-64","Female",106
"32","Nigeria","2021-10-09","65-69","Female",85
"33","Nigeria","2021-10-09","70-74","Female",51
"34","Nigeria","2021-10-09","75-79","Female",51
"35","Nigeria","2021-10-09","80-84","Female",43
"36","Nigeria","2021-10-09","85+","Female",46
