age,year,fertility_rate,date,gender
15-19,2018,0.0038325189230621827,2018,M
20-24,2018,0.049094707520891366,2018,M
25-29,2018,0.16185129398877174,2018,M
30-34,2018,0.25247602578210976,2018,M
35-39,2018,0.2650558301299652,2018,M
40-44,2018,0.23664804469273742,2018,M
45-49,2018,0.18710959681998865,2018,M
50-54,2018,0.15056098443720595,2018,M
55-59,2018,0.09161349134001823,2018,M
60-64,2018,0.06318347509113001,2018,M
65-69,2018,0.039316239316239315,2018,M
70-74,2018,0.021879021879021878,2018,M
75-79,2018,0.012345679012345678,2018,M
80+,2018,0,2018,M
15-19,2017,0.0026759167492566896,2017,M
20-24,2017,0.05460628509977297,2017,M
25-29,2017,0.16097902097902098,2017,M
30-34,2017,0.2447899967938442,2017,M
35-39,2017,0.29028614457831325,2017,M
40-44,2017,0.2502894188469553,2017,M
45-49,2017,0.20690672963400236,2017,M
50-54,2017,0.14211309523809523,2017,M
55-59,2017,0.08779342723004695,2017,M
60-64,2017,0.06222501571338781,2017,M
65-69,2017,0.04774305555555555,2017,M
70-74,2017,0.022486772486772486,2017,M
75-79,2017,0.025510204081632654,2017,M
80+,2017,0,2017,M
15-19,2016,0.004710219127585501,2016,M
20-24,2016,0.0525475751995089,2016,M
25-29,2016,0.16992438293622486,2016,M
30-34,2016,0.2430884999182071,2016,M
35-39,2016,0.2800387596899225,2016,M
40-44,2016,0.24406047516198703,2016,M
45-49,2016,0.198468606431853,2016,M
50-54,2016,0.14127529591447116,2016,M
55-59,2016,0.08309178743961353,2016,M
60-64,2016,0.0667098445595855,2016,M
65-69,2016,0.030809859154929578,2016,M
70-74,2016,0.035278154681139755,2016,M
75-79,2016,0.018617021276595744,2016,M
80+,2016,0,2016,M
15-19,2015,0.004329004329004329,2015,M
20-24,2015,0.052247261739896765,2015,M
25-29,2015,0.16269264321023552,2015,M
30-34,2015,0.24507183427998663,2015,M
35-39,2015,0.2882235528942116,2015,M
40-44,2015,0.2586421288236757,2015,M
45-49,2015,0.1934768841038632,2015,M
50-54,2015,0.13821456538762725,2015,M
55-59,2015,0.08887785501489573,2015,M
60-64,2015,0.0756469807564698,2015,M
65-69,2015,0.04014272970561998,2015,M
70-74,2015,0.026499302649930265,2015,M
75-79,2015,0.008379888268156424,2015,M
80+,2015,0,2015,M
15-19,2014,0.003162141533093447,2014,M
20-24,2014,0.05109677419354839,2014,M
25-29,2014,0.15776986951364175,2014,M
30-34,2014,0.2540633019674936,2014,M
35-39,2014,0.28288659793814436,2014,M
40-44,2014,0.25652286230948074,2014,M
45-49,2014,0.2049099836333879,2014,M
50-54,2014,0.14464141821112006,2014,M
55-59,2014,0.09897435897435898,2014,M
60-64,2014,0.06130790190735695,2014,M
65-69,2014,0.02737226277372263,2014,M
70-74,2014,0.02158273381294964,2014,M
75-79,2014,0.034383954154727794,2014,M
80+,2014,0,2014,M
15-19,2013,0.003709949409780776,2013,M
20-24,2013,0.047493403693931395,2013,M
25-29,2013,0.15639165911151406,2013,M
30-34,2013,0.26184626184626186,2013,M
35-39,2013,0.29466950959488275,2013,M
40-44,2013,0.27677852348993287,2013,M
45-49,2013,0.22387053270397841,2013,M
50-54,2013,0.145462080397845,2013,M
55-59,2013,0.0975609756097561,2013,M
60-64,2013,0.06736111111111111,2013,M
65-69,2013,0.040149393090569564,2013,M
70-74,2013,0.032640949554896145,2013,M
75-79,2013,0.011730205278592375,2013,M
80+,2013,0,2013,M
15-19,2012,0.0034694113565398406,2012,M
20-24,2012,0.05184486937786157,2012,M
25-29,2012,0.16307360640591315,2012,M
30-34,2012,0.2541027953110911,2012,M
35-39,2012,0.29154711984109466,2012,M
