"age","gender","death.x","death.y","death","child_age","nb_c","orphans"
"20-29","Female",0,7.00000000000001,7.00000000000001,14,0.00159279549918167,0
"20-29","Female",0,7.00000000000001,7.00000000000001,15,0,0
"20-29","Female",0,7.00000000000001,7.00000000000001,16,0,0
"20-29","Female",0,7.00000000000001,7.00000000000001,17,0,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,0,0.0468631771439387,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,1,0.0399067569633692,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,2,0.032948646683005,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,3,0.0259915091590652,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,4,0.0181811383473256,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,5,0.0116945258379548,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,6,0.00951878211392868,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,7,0.0081849639568543,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,8,0.00577122589160967,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,9,0.00329662096882101,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,10,0.00098932737296497,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,11,0.000861303361638808,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,12,0.000646005967140639,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,13,0.000383336433169952,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,14,0.000191675404050736,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,15,0,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,16,0,0
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274,17,0,0
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,0,0.0604173023872679,3
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,1,0.0662883942492013,3
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,2,0.0721551984807379,3
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,3,0.0780211212824765,4
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,4,0.0838936494221244,4
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,5,0.0900667403314917,4
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,6,0.0791525786597938,4
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,7,0.0772125759871932,4
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,8,0.0752727730473048,3
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,9,0.073333608603352,3
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,10,0.071364655342196,3
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,11,0.0689398930287329,3
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,12,0.0612762202514593,3
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,13,0.0536117798459563,2
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,14,0.0459464698036006,2
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,15,0.0382053596912521,2
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,16,0.0344691129943503,2
"30-39","Female",323.639726027397,369.173287671233,45.533561643836,17,0.0277854801026957,1
"30-39","Male",300.522602739726,846.4,545.877397260274,0,0.0699268012637546,38
"30-39","Male",300.522602739726,846.4,545.877397260274,1,0.0718857412211867,39
"30-39","Male",300.522602739726,846.4,545.877397260274,2,0.0738404059230975,40
"30-39","Male",300.522602739726,846.4,545.877397260274,3,0.0757947464387294,41
"30-39","Male",300.522602739726,846.4,545.877397260274,4,0.0726233829193153,40
"30-39","Male",300.522602739726,846.4,545.877397260274,5,0.0711971046581127,39
"30-39","Male",300.522602739726,846.4,545.877397260274,6,0.0655840779360494,36
"30-39","Male",300.522602739726,846.4,545.877397260274,7,0.0639015449254341,35
