age,gender,country,date,deaths,nb_c,orphans
0-9,Female,Kenya,2020-03-31,23,0,0
0-9,Male,Kenya,2020-03-31,30,0,0
10-19,Female,Kenya,2020-03-31,0,0.11318149519388655,0
10-19,Male,Kenya,2020-03-31,15,0.006625252542811383,0
20-29,Female,Kenya,2020-03-31,8,1.5430598457091371,12
20-29,Male,Kenya,2020-03-31,53,0.6364176984797704,34
30-39,Female,Kenya,2020-03-31,76,3.1865253340641235,242
30-39,Male,Kenya,2020-03-31,151,2.788157136787793,421
40-49,Female,Kenya,2020-03-31,98,2.2836595339657,224
40-49,Male,Kenya,2020-03-31,310,3.6758126166089555,1140
50-59,Female,Kenya,2020-03-31,136,0.7489363590579434,102
50-59,Male,Kenya,2020-03-31,332,2.473707849456232,821
60+,Female,Kenya,2020-03-31,204,0.018072802520387527,4
60+,Male,Kenya,2020-03-31,718,0.5678734761997682,408
