age,gender,nb_c,date,deaths,orphans
0-5,female,0,2021-03-31,382,0
0-5,male,0,2021-03-31,423,0
05-10,female,0,2021-03-31,53,0
05-10,male,0,2021-03-31,91,0
10-15,female,0,2021-03-31,101,0
10-15,male,0,2021-03-31,119,0
15-20,female,0.13984668319057927,2021-03-31,269,38
15-20,male,0.018075171978815214,2021-03-31,285,5
20-25,female,0.48017095907745255,2021-03-31,572,275
20-25,male,0.15441367746096266,2021-03-31,601,93
25-30,female,0.8982164575673776,2021-03-31,869,781
25-30,male,0.4547107890192534,2021-03-31,1083,492
30-35,female,1.3170728867396366,2021-03-31,1504,1981
30-35,male,0.8776859752004333,2021-03-31,2099,1842
35-40,female,1.4014350709359629,2021-03-31,2422,3394
35-40,male,1.218344491218737,2021-03-31,3601,4387
40-45,female,1.0149788921970242,2021-03-31,3456,3508
40-45,male,1.2027943255286198,2021-03-31,5445,6549
45-50,female,0.5751913100343703,2021-03-31,4526,2603
45-50,male,0.9228412968087213,2021-03-31,7478,6901
50-55,female,0.26573837096809694,2021-03-31,6262,1664
50-55,male,0.6435210044414674,2021-03-31,10513,6765
55-60,female,0.08675112991961688,2021-03-31,9117,791
55-60,male,0.4200457547859996,2021-03-31,14921,6268
60-65,female,0.01722339201513463,2021-03-31,12910,222
60-65,male,0.27467722848667503,2021-03-31,19953,5481
65-70,female,0.001347596497239987,2021-03-31,16240,22
65-70,male,0.1988861643787473,2021-03-31,24417,4856
70-75,female,0,2021-03-31,17673,0
70-75,male,0.15041219884485468,2021-03-31,25958,3904
75-80,female,0,2021-03-31,17350,0
75-80,male,0.11143628158931848,2021-03-31,23738,2645
80-85,female,0,2021-03-31,17580,0
80-85,male,0.07165005203151997,2021-03-31,20559,1473
85-90,female,0,2021-03-31,13901,0
85-90,male,0.03636861574446587,2021-03-31,13932,507
90-95,female,0,2021-03-31,8423,0
90-95,male,0.011073104613444275,2021-03-31,6791,75
95-99,female,0,2021-03-31,2836,0
95-99,male,5.889599072219714e-4,2021-03-31,1965,1
99+,female,0,2021-03-31,669,0
99+,male,0,2021-03-31,428,0
