age,date,gender,fertility_rate
20-24,2003,Male,32.78168546781686
20-24,2004,Male,32.71227678571429
20-24,2005,Male,31.556593031200183
20-24,2006,Male,31.63144329896907
20-24,2007,Male,31.507669831994157
20-24,2008,Male,31.63415879499617
20-24,2009,Male,31.58940575423501
20-24,2010,Male,34.5745887691435
20-24,2011,Male,34.58550464210842
20-24,2012,Male,34.559873617693526
20-24,2013,Male,34.601593625498005
20-24,2014,Male,34.5945945945946
20-24,2015,Male,40.80057388809182
20-24,2016,Male,40.74301470588235
20-24,2017,Male,40.63694029850746
20-24,2018,Male,40.43323330832708
20-24,2019,Male,40.71989528795812
25-29,2003,Male,99.15825
25-29,2004,Male,99.11718188353703
25-29,2005,Male,88.41517753539104
25-29,2006,Male,88.28773048030958
25-29,2007,Male,88.33123312331233
25-29,2008,Male,88.20893177737881
25-29,2009,Male,88.41785310734463
25-29,2010,Male,86.07978845711658
25-29,2011,Male,85.83538315988648
25-29,2012,Male,85.96178500986193
25-29,2013,Male,85.93816575733958
25-29,2014,Male,86.11798679867987
25-29,2015,Male,89.35098952270081
25-29,2016,Male,89.58632321373811
25-29,2017,Male,89.15054803352676
25-29,2018,Male,89.5801552480594
25-29,2019,Male,89.31822971548999
30-34,2003,Male,112.55628920435787
30-34,2004,Male,112.44109330819981
30-34,2005,Male,104.60638615338705
30-34,2006,Male,104.90144435004248
30-34,2007,Male,104.9149678111588
30-34,2008,Male,104.52842212592404
30-34,2009,Male,104.65200391006843
30-34,2010,Male,104.38676784443918
30-34,2011,Male,104.34806757694977
30-34,2012,Male,104.62017804154303
30-34,2013,Male,104.56837315130831
30-34,2014,Male,104.40678743407476
30-34,2015,Male,111.11331775700934
30-34,2016,Male,111.22115384615384
30-34,2017,Male,110.61748496993988
30-34,2018,Male,111.05772272008434
30-34,2019,Male,111.04647926523796
35-39,2003,Male,81.07011070110701
35-39,2004,Male,80.91209228321401
35-39,2005,Male,82.15201535508638
35-39,2006,Male,82.06203840472674
35-39,2007,Male,82.14007782101167
35-39,2008,Male,82.29483282674772
35-39,2009,Male,82.17213642213642
35-39,2010,Male,91.6988062442608
35-39,2011,Male,91.5073763378652
35-39,2012,Male,91.3591145121618
35-39,2013,Male,91.2699481865285
35-39,2014,Male,91.1818632309217
35-39,2015,Male,108.14234363767073
35-39,2016,Male,107.94315789473684
35-39,2017,Male,108.1565959409594
35-39,2018,Male,108.25579793340988
35-39,2019,Male,108.34288354898337
40-44,2003,Male,41.364922206506364
40-44,2004,Male,41.39536995006809
40-44,2005,Male,41.88142292490119
40-44,2006,Male,41.449486301369866
40-44,2007,Male,41.998744244453746
40-44,2008,Male,41.56001638672675
40-44,2009,Male,41.9028
40-44,2010,Male,48.798834951456314
40-44,2011,Male,48.767563527653216
40-44,2012,Male,49.0010752688172
40-44,2013,Male,48.96816158849709
40-44,2014,Male,48.821882123086944
40-44,2015,Male,61.34362457548626
40-44,2016,Male,61.29497663551402
40-44,2017,Male,61.293079680176454
40-44,2018,Male,61.269451697127934
40-44,2019,Male,61.34604836699078
45-49,2003,Male,14.315905338470005
45-49,2004,Male,14.323060573857598
45-49,2005,Male,12.454173067076292
45-49,2006,Male,12.587797619047619
45-49,2007,Male,12.460028721876496
45-49,2008,Male,12.58079409048938
45-49,2009,Male,12.601429848078642
45-49,2010,Male,13.418260869565218
45-49,2011,Male,13.279898218829517
45-49,2012,Male,13.412058212058213
45-49,2013,Male,13.30159378831222
45-49,2014,Male,13.3916
45-49,2015,Male,15.603729603729604
45-49,2016,Male,15.529654654654655
45-49,2017,Male,15.623376623376624
45-49,2018,Male,15.493622888659083
45-49,2019,Male,15.535889872173058
50-54,2003,Male,3.5686528497409324
50-54,2004,Male,3.5618396519577376
50-54,2005,Male,3.2535714285714286
50-54,2006,Male,3.2241379310344827
50-54,2007,Male,3.2099109131403116
50-54,2008,Male,3.247160627366144
50-54,2009,Male,3.2068241469816274
50-54,2010,Male,3.573027989821883
50-54,2011,Male,3.5706494794248886
50-54,2012,Male,3.508637236084453
50-54,2013,Male,3.51872399445215
50-54,2014,Male,3.5752448797862866
50-54,2015,Male,4.1931034482758625
50-54,2016,Male,4.143278550358197
50-54,2017,Male,4.238589211618257
50-54,2018,Male,4.247439573945105
50-54,2019,Male,4.229283990345937
15-19,2003,Male,0
15-19,2004,Male,0
15-19,2005,Male,0
15-19,2006,Male,0
15-19,2007,Male,0
15-19,2008,Male,0
15-19,2009,Male,0
15-19,2010,Male,0
15-19,2011,Male,0
15-19,2012,Male,0
15-19,2013,Male,0
15-19,2014,Male,0
15-19,2015,Male,0
15-19,2016,Male,0
15-19,2017,Male,0
15-19,2018,Male,0
15-19,2019,Male,0
55+,2003,Male,0
55+,2004,Male,0
55+,2005,Male,0
55+,2006,Male,0
55+,2007,Male,0
55+,2008,Male,0
55+,2009,Male,0
55+,2010,Male,0
55+,2011,Male,0
55+,2012,Male,0
55+,2013,Male,0
55+,2014,Male,0
55+,2015,Male,0
55+,2016,Male,0
55+,2017,Male,0
55+,2018,Male,0
55+,2019,Male,0
20-24,2020,Male,40.71989528795812
25-29,2020,Male,89.31822971548999
30-34,2020,Male,111.04647926523796
35-39,2020,Male,108.34288354898337
40-44,2020,Male,61.34604836699078
45-49,2020,Male,15.535889872173058
50-54,2020,Male,4.229283990345937
15-19,2020,Male,0
55+,2020,Male,0
