age,gender,max_deaths,nb_orphans
0-19,Female,0,0
0-19,Male,0,0
20-49,Female,3980,4890
20-49,Male,9231,11908
50-69,Female,19900,1923
50-69,Male,46158,12127
70+,Female,14169,0
70+,Male,32865,21
