"age","gender","deaths","nb_c","orphans"
"0-9","Female",0,0,0
"0-9","Male",0,0,0
"10-19","Female",0,0.0600330776211804,0
"10-19","Male",0,0,0
"20-29","Female",159,0.692359005605364,110
"20-29","Male",369,0.286783059804053,106
"30-39","Female",1751,1.52931632156143,2678
"30-39","Male",4062,1.18122464913048,4798
"40-49","Female",2070,1.01548005898033,2102
"40-49","Male",4800,1.45912668546499,7004
"50-59","Female",8597,0.207062348854225,1780
"50-59","Male",19940,0.527810584751463,10525
"60-69","Female",11303,0.0126353823178587,143
"60-69","Male",26218,0.0610851212261508,1602
"70-79","Female",8279,0,0
"70-79","Male",19202,0.0010773,21
"80+","Female",5890,0,0
"80+","Male",13663,0,0
