"age","gender","deaths"
"0-9","Female",0
"10-19","Female",0
"20-29","Female",90
"30-39","Female",995
"40-49","Female",1176
"50-59","Female",4884
"60-69","Female",6422
"70-79","Female",4703
"80+","Female",3347
"0-9","Male",0
"10-19","Male",0
"20-29","Male",210
"30-39","Male",2308
"40-49","Male",2727
"50-59","Male",11329
"60-69","Male",14895
"70-79","Male",10909
"80+","Male",7762
