age,gender,deaths
0-9,Female,0
10-19,Female,0
20-29,Female,154
30-39,Female,1697
40-49,Female,2005
50-59,Female,8329
60-69,Female,10951
70-79,Female,8021
80+,Female,5707
0-9,Male,0
10-19,Male,0
20-29,Male,358
30-39,Male,3935
40-49,Male,4651
50-59,Male,19319
60-69,Male,25401
70-79,Male,18604
80+,Male,13237
