age,gender,death,nb_c,orphans
0-9,Female,0,0,0
0-9,Male,0,0,0
10-19,Female,18.166095890410958,0.015747499112018316,0
10-19,Male,18.166095890410958,0.0023804067774179888,0
20-29,Female,0,0.4080208813673793,0
20-29,Male,18.166095890410958,0.20542899560483716,4
30-39,Female,254.3253424657534,1.1574129135111868,294
30-39,Male,236.15924657534245,0.9072152153048251,214
40-49,Female,417.82020547945206,0.7627084381090641,319
40-49,Male,817.4743150684931,0.903001354035259,738
50-59,Female,1126.2979452054794,0.10724182707320419,121
50-59,Male,2089.10102739726,0.23097537350910435,483
60-69,Female,2997.405821917808,0.00192735293408357,6
60-69,Male,6884.950342465753,0.022106166782091208,152
70-79,Female,5903.981164383561,0,0
70-79,Male,9301.04109589041,0.00782528375731755,73
80-89,Female,9319.20719178082,0,0
80-89,Male,8156.57705479452,0.00782528375731755,64
90+,Female,3651.3852739726026,0,0
90+,Male,1834.7756849315067,0.00782528375731755,14
