age,gender,covid_deaths,excess_deaths,deaths,nb_c,orphans
0-9,Female,1,-238.8,1,0,0
0-9,Male,4,-338.2,4,0,0
10-19,Female,6,-49,6,0.007065552808448389,0
10-19,Male,4,-65.8,4,0.0017925899090496845,0
20-29,Female,43,-86,43,0.36694551907314416,16
20-29,Male,43,-252.20000000000002,43,0.20567392778031637,9
30-39,Female,102,-45.6,102,1.4866489817858095,152
30-39,Male,168,-104.80000000000001,168,1.209327547392929,203
40-49,Female,352,-395,352,1.3442238451007074,473
40-49,Male,519,-607.4,519,1.47983090395904,768
50-59,Female,1104,-363.79999999999995,1104,0.2512565362878751,277
50-59,Male,2077,-901.4,2077,0.49851645578891496,1035
60-69,Female,3057,1314,3057,0.005215495287927715,16
60-69,Male,6891,894.4,6891,0.07093737509580335,489
70-79,Female,6822,8266.2,8266.2,0,0
70-79,Male,14395,16388,16388,0.008856940144886312,145
80-89,Female,16226,4957,16226,0,0
80-89,Male,21788,11557.4,21788,7.01261246041762e-4,15
90+,Female,12648,24082.8,24082.8,0,0
90+,Male,9546,14638,14638,4.920547244572857e-4,7
