country,year,age,gender,value,pop,fertility_rate
France,2007,15-19,Male,3726,1971,1.8904109589041096
France,2007,20-24,Male,53996,1999,27.011505752876438
France,2007,25-29,Male,180394,1883,95.80138077535847
France,2007,30-34,Male,257634,2020,127.54158415841584
France,2007,35-39,Male,178486,2166,82.40350877192982
France,2007,40-44,Male,74062,2178,34.00459136822773
France,2007,45-49,Male,24801,2097,11.82689556509299
France,2007,50-54,Male,8300,2019,4.110946012877662
France,2007,55-59,Male,3335,2034,1.6396263520157326
France,2007,60-64,Male,1122,1541,0.72809863724854
France,2007,65+,Male,129,4196,0.030743565300285988
France,2008,15-19,Male,3784,1952,1.9385245901639345
France,2008,20-24,Male,55482,1992,27.852409638554217
France,2008,25-29,Male,182925,1913,95.62205959226345
France,2008,30-34,Male,256125,1960,130.67602040816325
France,2008,35-39,Male,183422,2171,84.48733302625519
France,2008,40-44,Male,75695,2175,34.802298850574715
France,2008,45-49,Male,25588,2121,12.064120697784064
France,2008,50-54,Male,8477,2017,4.202776400594943
France,2008,55-59,Male,3211,2014,1.5943396226415094
France,2008,60-64,Male,1235,1683,0.7338086749851456
France,2008,65+,Male,100,4239,0.02359046945034206
France,2009,15-19,Male,3852,1940,1.9855670103092784
France,2009,20-24,Male,54701,1981,27.612821807168096
France,2009,25-29,Male,183121,1938,94.48968008255935
France,2009,30-34,Male,253449,1912,132.55700836820083
France,2009,35-39,Male,182243,2167,84.09921550530687
France,2009,40-44,Male,76509,2173,35.208927749654855
France,2009,45-49,Male,26336,2143,12.289314045730285
France,2009,50-54,Male,8759,2022,4.331849653808111
France,2009,55-59,Male,3135,1991,1.574585635359116
France,2009,60-64,Male,1201,1807,0.6646375207526287
France,2009,65+,Male,114,4299,0.026517794836008374
France,2010,15-19,Male,3235,1937,1.670108415074858
France,2010,20-24,Male,52892,1969,26.862366683595734
France,2010,25-29,Male,183322,1951,93.96309584828293
France,2010,30-34,Male,260153,1884,138.08545647558387
France,2010,35-39,Male,183348,2146,85.43709226467847
France,2010,40-44,Male,78729,2175,36.19724137931034
France,2010,45-49,Male,27067,2160,12.531018518518518
France,2010,50-54,Male,8978,2032,4.418307086614173
France,2010,55-59,Male,3130,1978,1.5824064711830133
France,2010,60-64,Male,1261,1889,0.6675489677077819
France,2010,65+,Male,109,4392,0.02481785063752277
France,2012,15-19,Male,3133,1924,1.6283783783783783
France,2012,20-24,Male,49144,1934,25.410548086866598
France,2012,25-29,Male,175114,1969,88.93550025393601
France,2012,30-34,Male,260412,1898,137.20337197049525
France,2012,35-39,Male,177241,2055,86.24866180048662
France,2012,40-44,Male,82312,2185,37.671395881006866
France,2012,45-49,Male,28813,2173,13.259549010584445
France,2012,50-54,Male,9435,2069,4.560173997100049
France,2012,55-59,Male,3303,1963,1.6826286296484971
France,2012,60-64,Male,1244,1941,0.6409067490984028
France,2012,65+,Male,139,4675,0.029732620320855614
France,2013,15-19,Male,2874,1930,1.489119170984456
France,2013,20-24,Male,45946,1911,24.0429094714809
France,2013,25-29,Male,173301,1961,88.37378888322284
France,2013,30-34,Male,256974,1929,133.21617418351477
France,2013,35-39,Male,176030,1997,88.14722083124687
France,2013,40-44,Male,83507,2192,38.09625912408759
France,2013,45-49,Male,28753,2172,13.238029465930019
France,2013,50-54,Male,9647,2096,4.602576335877862
France,2013,55-59,Male,3279,1965,1.668702290076336
France,2013,60-64,Male,1165,1926,0.6048805815160956
France,2013,65+,Male,145,4846,0.02992158481221626
France,2014,15-19,Male,2801,1941,1.443070582174137
France,2014,20-24,Male,43367,1891,22.93336858804865
France,2014,25-29,Male,169753,1945,87.27660668380463
France,2014,30-34,Male,257676,1955,131.80358056265985
France,2014,35-39,Male,177422,1950,90.98564102564103
France,2014,40-44,Male,85031,2187,38.880201188843166
France,2014,45-49,Male,30269,2170,13.94884792626728
France,2014,50-54,Male,10050,2120,4.740566037735849
France,2014,55-59,Male,3472,1972,1.7606490872210954
France,2014,60-64,Male,1191,1906,0.6248688352570829
France,2014,65+,Male,135,5018,0.026903148664806698
France,2015,15-19,Male,2592,1956,1.3251533742331287
France,2015,20-24,Male,39085,1876,20.834221748400854
France,2015,25-29,Male,162844,1923,84.68226729069163
France,2015,30-34,Male,250049,1968,127.057418699187
France,2015,35-39,Male,177749,1925,92.33714285714285
France,2015,40-44,Male,82700,2166,38.18097876269621
France,2015,45-49,Male,30145,2171,13.885306310456011
France,2015,50-54,Male,10348,2137,4.842302292934019
France,2015,55-59,Male,3521,1984,1.7746975806451613
France,2015,60-64,Male,1248,1895,0.6585751978891821
France,2015,65+,Male,140,5179,0.02703224560726009
France,2016,15-19,Male,2471,1958,1.2620020429009193
France,2016,20-24,Male,36311,1871,19.407268840192412
France,2016,25-29,Male,155476,1910,81.40104712041885
France,2016,30-34,Male,244419,1975,123.75645569620254
France,2016,35-39,Male,178704,1917,93.22065727699531
France,2016,40-44,Male,81868,2130,38.435680751173706
France,2016,45-49,Male,30131,2174,13.85970561177553
France,2016,50-54,Male,10436,2144,4.867537313432836
France,2016,55-59,Male,3588,1998,1.7957957957957957
France,2016,60-64,Male,1187,1887,0.6290408055113937
France,2016,65+,Male,106,5330,0.019887429643527205
France,2017,15-19,Male,2343,1961,1.1947985721570626
France,2017,20-24,Male,34195,1868,18.305674518201286
France,2017,25-29,Male,148087,1891,78.31147540983606
France,2017,30-34,Male,239631,1974,121.3936170212766
France,2017,35-39,Male,177992,1930,92.22383419689119
France,2017,40-44,Male,81022,2077,39.0091478093404
France,2017,45-49,Male,31338,2183,14.355474118185983
France,2017,50-54,Male,10741,2145,5.007459207459207
France,2017,55-59,Male,3555,2018,1.761645193260654
France,2017,60-64,Male,1201,1884,0.6374734607218684
France,2017,65+,Male,137,5469,0.025050283415615285
