age,gender,nb_excess,nb_covid,nb_deaths,nb_orphans
0-19,Female,-288,7,7,0
0-19,Male,-404,8,8,0
20-49,Female,-527,497,497,641
20-49,Male,-964,730,730,980
50-69,Female,950,4161,4161,293
50-69,Male,-7,8968,8968,1524
70+,Female,37306,35696,48575,0
70+,Male,42583,45729,52814,167
