country,date,age,gender,deaths
Peru,11/10/2021,0-9,Male,393
Peru,11/10/2021,Oct-19,Male,310
Peru,11/10/2021,20-29,Male,1372
Peru,11/10/2021,30-39,Male,4520
Peru,11/10/2021,40-49,Male,11790
Peru,11/10/2021,50-59,Male,22978
Peru,11/10/2021,60-69,Male,32595
Peru,11/10/2021,70-79,Male,30157
Peru,11/10/2021,80-89,Male,19156
Peru,11/10/2021,90+,Male,4430
Peru,11/10/2021,0-9,Female,314
Peru,11/10/2021,Oct-19,Female,304
Peru,11/10/2021,20-29,Female,882
Peru,11/10/2021,30-39,Female,2296
Peru,11/10/2021,40-49,Female,5226
Peru,11/10/2021,50-59,Female,11186
Peru,11/10/2021,60-69,Female,18522
Peru,11/10/2021,70-79,Female,17812
Peru,11/10/2021,80-89,Female,12211
Peru,11/10/2021,90+,Female,3822
