year,age,rate,gender,country
2016,20-24,33.6,M,England_Wales
2016,25-29,75.9,M,England_Wales
2016,30-34,106.2,M,England_Wales
2016,35-39,83.3,M,England_Wales
2016,40-44,37,M,England_Wales
2016,45-49,12,M,England_Wales
2016,50-54,3.8,M,England_Wales
2016,55-59,1.3,M,England_Wales
2016,60-64,2.491150291758701,M,England_Wales
2017,15-19,22.533275313475507,M,England_Wales
2017,20-24,31.6,M,England_Wales
2017,25-29,73.2,M,England_Wales
2017,30-34,104.3,M,England_Wales
2017,35-39,80.8,M,England_Wales
2017,40-44,36.9,M,England_Wales
2017,45-49,12.1,M,England_Wales
2017,50-54,3.7,M,England_Wales
2017,55-59,1.3,M,England_Wales
2017,60-64,2.458874503446993,M,England_Wales
2018,15-19,18.604432472260594,M,England_Wales
2018,20-24,28.8,M,England_Wales
2018,25-29,69.4,M,England_Wales
2018,30-34,101.7,M,England_Wales
2018,35-39,78.5,M,England_Wales
2018,40-44,35.9,M,England_Wales
2018,45-49,11.8,M,England_Wales
2018,50-54,3.6,M,England_Wales
2018,55-59,1.2,M,England_Wales
2018,60-64,2.0358480808284667,M,England_Wales
