age,gender,year,value,country,pop_nb,rate
15-19,F,2002,43467,England_Wales,1603116,27.114070347997274
15-19,F,2003,44236,England_Wales,1645700,26.87974722002795
15-19,F,2004,45094,England_Wales,1675943,26.906643006355228
15-19,F,2005,44830,England_Wales,1698972,26.386544333867775
15-19,F,2006,45509,England_Wales,1712646,26.572333103279956
15-19,F,2007,44805,England_Wales,1732216,25.86571189736153
15-19,F,2008,44691,England_Wales,1735770,25.747074785253808
15-19,F,2009,43243,England_Wales,1743570,24.801413192472914
15-19,F,2010,40591,England_Wales,1732304,23.431799499395026
15-19,F,2011,36435,England_Wales,1719795,21.185664570486598
15-19,F,2012,33815,England_Wales,1696197,19.93577396965093
15-19,F,2013,29136,England_Wales,1677213,17.371675511697084
15-19,F,2014,25977,England_Wales,1663541,15.615485281096168
15-19,F,2015,23948,England_Wales,1652919,14.48830825950939
15-19,F,2016,22465,England_Wales,1635896,13.73253556460802
15-19,F,2017,20358,England_Wales,1604904,12.684870870781056
15-19,F,2018,18976,England_Wales,1590604,11.930059273081168
20-24,F,2002,110959,England_Wales,1617800,68.58635183582643
20-24,F,2003,116622,England_Wales,1654080,70.50565873476495
20-24,F,2004,121072,England_Wales,1687160,71.76082884847911
20-24,F,2005,122145,England_Wales,1733001,70.48178275719403
20-24,F,2006,127828,England_Wales,1772676,72.11018821262317
20-24,F,2007,130784,England_Wales,1801211,72.60892810448082
20-24,F,2008,135971,England_Wales,1834139,74.13342173085027
20-24,F,2009,136012,England_Wales,1840515,73.89888156304077
20-24,F,2010,137312,England_Wales,1853376,74.08750302151317
20-24,F,2011,134946,England_Wales,1884229,71.61868329168058
20-24,F,2012,132456,England_Wales,1893629,69.94823167579288
20-24,F,2013,119719,England_Wales,1880734,63.6554664295961
20-24,F,2014,112615,England_Wales,1874608,60.07389278185092
20-24,F,2015,108111,England_Wales,1863394,58.01832570030815
20-24,F,2016,102607,England_Wales,1837268,55.847595451507345
20-24,F,2017,97506,England_Wales,1814783,53.72873781603641
20-24,F,2018,91095,England_Wales,1804323,50.487080195729924
25-29,F,2002,153379,England_Wales,1681071,91.23885903688779
25-29,F,2003,156931,England_Wales,1647056,95.27969905091265
25-29,F,2004,159984,England_Wales,1658153,96.48325576710955
25-29,F,2005,164348,England_Wales,1712479,95.97081190484671
25-29,F,2006,172642,England_Wales,1762909,97.93018244276931
25-29,F,2007,182570,England_Wales,1824599,100.06034202583692
25-29,F,2008,192960,England_Wales,1872687,103.03910904491781
25-29,F,2009,194129,England_Wales,1895208,102.43150092232621
25-29,F,2010,199233,England_Wales,1913018,104.14590976143455
25-29,F,2011,200587,England_Wales,1923189,104.29916144487099
25-29,F,2012,202370,England_Wales,1925992,105.07312595275577
25-29,F,2013,196693,England_Wales,1937808,101.50283206592191
25-29,F,2014,196818,England_Wales,1951740,100.84232530972363
25-29,F,2015,198183,England_Wales,1966325,100.78852682033744
25-29,F,2016,196132,England_Wales,1985584,98.77799176463952
25-29,F,2017,190028,England_Wales,1993681,95.31514821077194
25-29,F,2018,180858,England_Wales,1981361,91.27968098695796
30-34,F,2002,180532,England_Wales,2010113,89.81186629806383
30-34,F,2003,187214,England_Wales,1974793,94.8018349264961
30-34,F,2004,190550,England_Wales,1919327,99.2795912317182
30-34,F,2005,188153,England_Wales,1883350,99.90336368704702
30-34,F,2006,189407,England_Wales,1831721,103.40384807511624
30-34,F,2007,191124,England_Wales,1773284,107.7796901116798
30-34,F,2008,192450,England_Wales,1752312,109.82633229698821
30-34,F,2009,191600,England_Wales,1762041,108.73753788929997
30-34,F,2010,202457,England_Wales,1802700,112.30764963665612
30-34,F,2011,207151,England_Wales,1851379,111.89011002069269
30-34,F,2012,216242,England_Wales,1898383,113.90852109400474
30-34,F,2013,212306,England_Wales,1941202,109.3683192166503
30-34,F,2014,215642,England_Wales,1954100,110.3536154751548
30-34,F,2015,217755,England_Wales,1961398,111.02030286560912
30-34,F,2016,220129,England_Wales,1966190,111.95713537348882
30-34,F,2017,216787,England_Wales,1975104,109.75978986422993
30-34,F,2018,212707,England_Wales,1992159,106.77210001812104
35-39,F,2002,90449,England_Wales,2103784,42.9934822206082
35-39,F,2003,97386,England_Wales,2100222,46.36938380799744
35-39,F,2004,102228,England_Wales,2093969,48.82020698491716
35-39,F,2005,104113,England_Wales,2070992,50.27204354241832
35-39,F,2006,110509,England_Wales,2059965,53.64605709320304
35-39,F,2007,115380,England_Wales,2040482,56.54546327779417
35-39,F,2008,116220,England_Wales,2009443,57.83692296820562
35-39,F,2009,114288,England_Wales,1966383,58.120925577570596
35-39,F,2010,115841,England_Wales,1922517,60.2548638061458
35-39,F,2011,115444,England_Wales,1858048,62.13187172774869
35-39,F,2012,114797,England_Wales,1803418,63.65523688906288
35-39,F,2013,111500,England_Wales,1772480,62.90621050731179
35-39,F,2014,115171,England_Wales,1785685,64.49681774781106
35-39,F,2015,120614,England_Wales,1826264,66.04412067477648
35-39,F,2016,125205,England_Wales,1871281,66.90871119837159
35-39,F,2017,125114,England_Wales,1920620,65.1425060657496
35-39,F,2018,124567,England_Wales,1964167,63.419760132412364
40-44,F,2002,16441,England_Wales,1905417,8.62855742338816
40-44,F,2003,18205,England_Wales,1955037,9.311844225966055
40-44,F,2004,19884,England_Wales,2007179,9.906440830638424
40-44,F,2005,21155,England_Wales,2056890,10.284944746680669
40-44,F,2006,22512,England_Wales,2086487,10.789427396384449
40-44,F,2007,24041,England_Wales,2108503,11.401928287510144
40-44,F,2008,24991,England_Wales,2103259,11.882036401603417
40-44,F,2009,25357,England_Wales,2097761,12.087649641689401
40-44,F,2010,25973,England_Wales,2076795,12.506289739719135
40-44,F,2011,27518,England_Wales,2068199,13.305296057100888
40-44,F,2012,28019,England_Wales,2048039,13.680891818954619
40-44,F,2013,27148,England_Wales,2016544,13.462637066188488
40-44,F,2014,27021,England_Wales,1969315,13.721014667536682
40-44,F,2015,27065,England_Wales,1928123,14.036967558604923
40-44,F,2016,27447,England_Wales,1870975,14.669891366800732
40-44,F,2017,26956,England_Wales,1819794,14.812665609404142
40-44,F,2018,26499,England_Wales,1790194,14.802306342217658
45-49,F,2002,895,England_Wales,1688650,0.5300091789299144
45-49,F,2003,875,England_Wales,1718698,0.5091063118709628
45-49,F,2004,909,England_Wales,1749197,0.5196670243546039
45-49,F,2005,1091,England_Wales,1792971,0.6084872538373459
45-49,F,2006,1194,England_Wales,1842383,0.6480737175712108
45-49,F,2007,1309,England_Wales,1895002,0.6907644424649684
45-49,F,2008,1428,England_Wales,1947236,0.7333471649045108
45-49,F,2009,1619,England_Wales,1999599,0.8096623372986284
45-49,F,2010,1758,England_Wales,2047110,0.858771634157422
45-49,F,2011,1832,England_Wales,2078162,0.8815482142393134
45-49,F,2012,1975,England_Wales,2094703,0.9428544285275765
45-49,F,2013,2010,England_Wales,2098249,0.9579415979704983
45-49,F,2014,1989,England_Wales,2094357,0.9496948228024162
45-49,F,2015,2176,England_Wales,2077005,1.0476623792431892
45-49,F,2016,2286,England_Wales,2072516,1.1030071661690428
45-49,F,2017,2357,England_Wales,2054066,1.1474801686021774
45-49,F,2018,2366,England_Wales,2025216,1.1682704462141322
