0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0038,1.3e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0038,1.3e-4,1.3e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0038,1.3e-4,1.3e-4,1.3e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0038,1.3e-4,1.3e-4,1.3e-4,1.5e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0038,1.3e-4,1.3e-4,1.3e-4,1.5e-4,7e-5,0,0,0,0,0,0,0,0,0,0,0,0
0.0038,1.3e-4,1.3e-4,1.3e-4,1.5e-4,7e-5,8e-5,0,0,0,0,0,0,0,0,0,0,0
0.0038,1.3e-4,1.3e-4,1.3e-4,1.5e-4,7e-5,8e-5,7e-5,0,0,0,0,0,0,0,0,0,0
0.0038,1.3e-4,1.3e-4,1.3e-4,1.5e-4,7e-5,8e-5,7e-5,8e-5,0,0,0,0,0,0,0,0,0
0.0038,1.3e-4,1.3e-4,1.3e-4,1.5e-4,7e-5,8e-5,7e-5,8e-5,7e-5,0,0,0,0,0,0,0,0
