"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"00-04","female",1,2,0
"2",2,"05-09","female",3,6,5
"3",3,"10-14","female",20,15,0
"4",4,"15-19","female",8,16,6
"5",5,"20-24","female",27,31,2
"6",6,"25-29","female",55,62,7
"7",7,"30-34","female",172,214,39
"8",8,"35-39","female",345,414,72
"9",9,"40-44","female",411,458,54
"10",10,"45-49","female",531,606,93
"11",11,"50-54","female",957,1087,131
"12",12,"55-59","female",1805,2078,278
"13",13,"60-64","female",2352,2685,356
"14",14,"65-69","female",3046,3335,271
"15",15,"70-74","female",5447,6150,702
"16",16,"75-79","female",7247,7672,456
"17",17,"80-84","female",10810,11323,494
"18",18,"85-89","female",13377,13899,499
"19",19,"90+","female",17947,18646,672
"20",20,"all-ages","female",0,0,0
"21",21,"00-04","male",2,6,2
"22",22,"05-09","male",0,1,1
"23",23,"10-14","male",5,6,0
"24",24,"15-19","male",14,18,4
"25",25,"20-24","male",33,48,12
"26",26,"25-29","male",73,92,18
"27",27,"30-34","male",247,273,24
"28",28,"35-39","male",542,665,109
"29",29,"40-44","male",620,825,201
"30",30,"45-49","male",919,1079,181
"31",31,"50-54","male",2189,2447,257
"32",32,"55-59","male",3710,4281,533
"33",33,"60-64","male",4539,5167,654
"34",34,"65-69","male",5284,5730,466
"35",35,"70-74","male",8830,9450,652
"36",36,"75-79","male",11114,11798,676
"37",37,"80-84","male",14129,14906,797
"38",38,"85-89","male",14039,14741,677
"39",39,"90+","male",12000,12535,551
"40",40,"all-ages","male",0,0,0
