age,gender,year,country,rate
15-19,F,2002,England_Wales,27.114070347997274
15-19,F,2003,England_Wales,26.87974722002795
15-19,F,2004,England_Wales,26.906643006355228
15-19,F,2005,England_Wales,26.386544333867775
15-19,F,2006,England_Wales,26.572333103279956
15-19,F,2007,England_Wales,25.86571189736153
15-19,F,2008,England_Wales,25.747074785253808
15-19,F,2009,England_Wales,24.801413192472914
15-19,F,2010,England_Wales,23.431799499395026
15-19,F,2011,England_Wales,21.185664570486598
15-19,F,2012,England_Wales,19.93577396965093
15-19,F,2013,England_Wales,17.371675511697084
15-19,F,2014,England_Wales,15.615485281096168
15-19,F,2015,England_Wales,14.48830825950939
15-19,F,2016,England_Wales,13.73253556460802
15-19,F,2017,England_Wales,12.684870870781056
15-19,F,2018,England_Wales,11.930059273081168
20-24,F,2002,England_Wales,68.58635183582643
20-24,F,2003,England_Wales,70.50565873476495
20-24,F,2004,England_Wales,71.76082884847911
20-24,F,2005,England_Wales,70.48178275719403
20-24,F,2006,England_Wales,72.11018821262317
20-24,F,2007,England_Wales,72.60892810448082
20-24,F,2008,England_Wales,74.13342173085027
20-24,F,2009,England_Wales,73.89888156304077
20-24,F,2010,England_Wales,74.08750302151317
20-24,F,2011,England_Wales,71.61868329168058
20-24,F,2012,England_Wales,69.94823167579288
20-24,F,2013,England_Wales,63.6554664295961
20-24,F,2014,England_Wales,60.07389278185092
20-24,F,2015,England_Wales,58.01832570030815
20-24,F,2016,England_Wales,55.847595451507345
20-24,F,2017,England_Wales,53.72873781603641
20-24,F,2018,England_Wales,50.487080195729924
25-29,F,2002,England_Wales,91.23885903688779
25-29,F,2003,England_Wales,95.27969905091265
25-29,F,2004,England_Wales,96.48325576710955
25-29,F,2005,England_Wales,95.97081190484671
25-29,F,2006,England_Wales,97.93018244276931
25-29,F,2007,England_Wales,100.06034202583692
25-29,F,2008,England_Wales,103.03910904491781
25-29,F,2009,England_Wales,102.43150092232621
25-29,F,2010,England_Wales,104.14590976143455
25-29,F,2011,England_Wales,104.29916144487099
25-29,F,2012,England_Wales,105.07312595275577
