age,gender,year,value,country,pop_nb,value_sample,rate
15-19,F,2002,43467,England_Wales,1603116,43498,27.133407688526596
15-19,F,2003,44236,England_Wales,1645700,44432,26.9988454760892
15-19,F,2004,45094,England_Wales,1675943,45392,27.08445334954709
15-19,F,2005,44830,England_Wales,1698972,44344,26.10048900158449
15-19,F,2006,45509,England_Wales,1712646,45513,26.574668670583414
15-19,F,2007,44805,England_Wales,1732216,44506,25.693100629482696
15-19,F,2008,44691,England_Wales,1735770,44572,25.67851731508207
15-19,F,2009,43243,England_Wales,1743570,43036,24.682691259886326
15-19,F,2010,40591,England_Wales,1732304,40641,23.46066279359743
15-19,F,2011,36435,England_Wales,1719795,36553,21.254277399341202
15-19,F,2012,33815,England_Wales,1696197,33863,19.96407256940084
15-19,F,2013,29136,England_Wales,1677213,29114,17.358558513438663
15-19,F,2014,25977,England_Wales,1663541,25872,15.552366908900952
15-19,F,2015,23948,England_Wales,1652919,23740,14.362470272287995
15-19,F,2016,22465,England_Wales,1635896,22347,13.6604038398529
15-19,F,2017,20358,England_Wales,1604904,20443,12.73783354019929
15-19,F,2018,18976,England_Wales,1590604,18939,11.906797669313042
20-24,F,2002,110959,England_Wales,1617800,110852,68.52021263444183
20-24,F,2003,116622,England_Wales,1654080,116856,70.64712710388856
20-24,F,2004,121072,England_Wales,1687160,120817,71.6096872851419
20-24,F,2005,122145,England_Wales,1733001,122246,70.54006316211012
20-24,F,2006,127828,England_Wales,1772676,127397,71.8670529752758
20-24,F,2007,130784,England_Wales,1801211,130391,72.39074156220454
20-24,F,2008,135971,England_Wales,1834139,136298,74.31170701893367
20-24,F,2009,136012,England_Wales,1840515,135683,73.72012724699337
20-24,F,2010,137312,England_Wales,1853376,137218,74.03678476466729
20-24,F,2011,134946,England_Wales,1884229,134274,71.26203874369835
20-24,F,2012,132456,England_Wales,1893629,133036,70.25452187308073
20-24,F,2013,119719,England_Wales,1880734,119812,63.70491520863663
20-24,F,2014,112615,England_Wales,1874608,112952,60.25366369929073
20-24,F,2015,108111,England_Wales,1863394,108411,58.17932224746887
20-24,F,2016,102607,England_Wales,1837268,102911,56.01305851949743
20-24,F,2017,97506,England_Wales,1814783,97713,53.84280104012436
20-24,F,2018,91095,England_Wales,1804323,91302,50.60180466579432
25-29,F,2002,153379,England_Wales,1681071,152673,90.81888867275683
25-29,F,2003,156931,England_Wales,1647056,156689,95.1327702276061
25-29,F,2004,159984,England_Wales,1658153,159413,96.13889671218519
25-29,F,2005,164348,England_Wales,1712479,164195,95.88146774354605
25-29,F,2006,172642,England_Wales,1762909,172548,97.87686148292396
25-29,F,2007,182570,England_Wales,1824599,182282,99.90249912446515
25-29,F,2008,192960,England_Wales,1872687,192762,102.93337861586052
25-29,F,2009,194129,England_Wales,1895208,194318,102.53122612399272
25-29,F,2010,199233,England_Wales,1913018,199336,104.19975138759803
25-29,F,2011,200587,England_Wales,1923189,201350,104.69589832304574
25-29,F,2012,202370,England_Wales,1925992,202229,104.999916925927
25-29,F,2013,196693,England_Wales,1937808,196490,101.39807452544318
25-29,F,2014,196818,England_Wales,1951740,197024,100.94787215510263
25-29,F,2015,198183,England_Wales,1966325,198343,100.86989688886628
25-29,F,2016,196132,England_Wales,1985584,195714,98.56747435515193
25-29,F,2017,190028,England_Wales,1993681,189332,94.96604521987219
25-29,F,2018,180858,England_Wales,1981361,179914,90.8032408026604
30-34,F,2002,180532,England_Wales,2010113,180832,89.96111163899741
30-34,F,2003,187214,England_Wales,1974793,187408,94.90007307094972
30-34,F,2004,190550,England_Wales,1919327,190675,99.34471822675344
30-34,F,2005,188153,England_Wales,1883350,188605,100.14336156317201
30-34,F,2006,189407,England_Wales,1831721,189748,103.59001179764822
30-34,F,2007,191124,England_Wales,1773284,190865,107.63363341686949
30-34,F,2008,192450,England_Wales,1752312,193277,110.2982802149389
30-34,F,2009,191600,England_Wales,1762041,191185,108.50201556036437
30-34,F,2010,202457,England_Wales,1802700,202388,112.26937371720197
30-34,F,2011,207151,England_Wales,1851379,207349,111.99705732861828
30-34,F,2012,216242,England_Wales,1898383,217445,114.54221829841502
30-34,F,2013,212306,England_Wales,1941202,212879,109.66349715279502
30-34,F,2014,215642,England_Wales,1954100,215482,110.27173634921448
30-34,F,2015,217755,England_Wales,1961398,218126,111.20945366519187
