age,gender,nb_covid19,nb_excess,deaths,nb_c,orphans
00-04,female,1,-116,1,0,0
00-04,male,2,-160,2,0,0
05-09,female,3,-39,3,0,0
05-09,male,0,-13,0,0,0
10-14,female,4,20,20,0,0
10-14,male,5,-38,5,0,0
15-19,female,8,-18,8,0.0364040206312512,0.2912321650500096
15-19,male,14,-32,14,0.05860309983547371,0.8204433976966319
20-24,female,27,-4,27,0.22898738304636684,6.182659342251905
20-24,male,33,-34,33,0.21208121202814845,6.998679996928899
25-29,female,49,55,55,0.6836879469852725,37.602837084189986
25-29,male,73,59,73,0.563895743061436,41.16438924348483
30-34,female,96,172,172,1.2922294520764679,222.2634657571525
30-34,male,144,247,247,1.0907940246658303,269.4261240924601
35-39,female,171,345,345,1.5904125304550891,548.6923230070057
35-39,male,241,542,542,1.4112813287092179,764.9144801603961
40-44,female,275,411,411,1.3937807638539015,572.8438939439535
40-44,male,420,620,620,1.4465654312374587,896.8705673672245
45-49,female,531,477,531,0.8815957690385412,468.12735335946536
45-49,male,825,919,919,1.120172609855472,1029.4386284571788
50-54,female,957,876,957,0.35472302951899365,339.46993924967694
50-54,male,1536,2189,2189,0.609580467388934,1334.3716431143766
55-59,female,1456,1805,1805,0.07894502105554493,142.4957630052586
55-59,male,2656,3710,3710,0.24954688966385896,925.8189606529168
60-64,female,2150,2352,2352,0.008423651843752003,19.81242913650471
60-64,male,4035,4539,4539,0.09088992853465648,412.5493856188058
65-69,female,3046,1217,3046,3.075716082019934e-4,0.9368631185832719
65-69,male,5284,2889,5284,0.0362517595969818,191.55429771045183
70-74,female,4913,5447,5447,0,0
70-74,male,8267,8830,8830,0.015449846076685177,136.4221408571301
75-79,female,7247,6814,7247,0,0
75-79,male,11114,10657,11114,0.00976568105779134,108.53577927629294
80-84,female,10810,7798,10810,0,0
80-84,male,14129,11825,14129,0.0013669581497304103,19.313751697540965
85-89,female,13377,7428,13377,0,0
85-89,male,14039,11326,14039,0,0
90+,female,17947,12470,17947,0,0
90+,male,12000,11628,12000,0,0
