age,gender,year,country,rate
15-19,F,2002,England_Wales,27.01488850463722
15-19,F,2003,England_Wales,27.003098985234246
15-19,F,2004,England_Wales,26.78790388455932
15-19,F,2005,England_Wales,26.41185375627144
15-19,F,2006,England_Wales,26.595688776314546
15-19,F,2007,England_Wales,25.815487214065683
15-19,F,2008,England_Wales,25.676788975497907
15-19,F,2009,England_Wales,24.679823580355247
15-19,F,2010,England_Wales,23.54956173974083
15-19,F,2011,England_Wales,21.06181259975753
15-19,F,2012,England_Wales,19.760676383698357
15-19,F,2013,England_Wales,17.4891322688293
15-19,F,2014,England_Wales,15.661170960018419
15-19,F,2015,England_Wales,14.556067175705525
15-19,F,2016,England_Wales,13.846234723967783
15-19,F,2017,England_Wales,12.761510968880382
15-19,F,2018,England_Wales,12.004244928341686
20-24,F,2002,England_Wales,69.04623562863148
20-24,F,2003,England_Wales,70.67070516540917
20-24,F,2004,England_Wales,71.48343962635435
20-24,F,2005,England_Wales,70.66008617421456
20-24,F,2006,England_Wales,71.81289756278079
20-24,F,2007,England_Wales,72.69942277723155
20-24,F,2008,England_Wales,74.21247789834904
20-24,F,2009,England_Wales,73.8070594371684
20-24,F,2010,England_Wales,74.23965779205083
20-24,F,2011,England_Wales,71.79647484461815
20-24,F,2012,England_Wales,70.23234223810472
20-24,F,2013,England_Wales,63.517222531203245
20-24,F,2014,England_Wales,60.02801652398795
20-24,F,2015,England_Wales,57.8739654630207
20-24,F,2016,England_Wales,55.70662527187106
20-24,F,2017,England_Wales,53.68575747072791
20-24,F,2018,England_Wales,50.407826093221665
25-29,F,2002,England_Wales,91.10977466151043
25-29,F,2003,England_Wales,95.48734226401531
25-29,F,2004,England_Wales,96.22875573002008
25-29,F,2005,England_Wales,95.47795914577638
25-29,F,2006,England_Wales,97.84225958344986
25-29,F,2007,England_Wales,99.97868024700222
25-29,F,2008,England_Wales,103.10906200555672
25-29,F,2009,England_Wales,102.06795243582762
25-29,F,2010,England_Wales,104.41877703189411
25-29,F,2011,England_Wales,104.5981440201665
25-29,F,2012,England_Wales,104.67748568010667
25-29,F,2013,England_Wales,101.2762874340492
25-29,F,2014,England_Wales,101.20866508858762
25-29,F,2015,England_Wales,101.19181722248356
25-29,F,2016,England_Wales,98.67273305989573
25-29,F,2017,England_Wales,95.618105404024
25-29,F,2018,England_Wales,91.4149415477543
30-34,F,2002,England_Wales,89.91136319201955
30-34,F,2003,England_Wales,94.9942601579001
30-34,F,2004,England_Wales,99.47914034450618
30-34,F,2005,England_Wales,100.19433456341095
30-34,F,2006,England_Wales,104.04914285527109
30-34,F,2007,England_Wales,107.67761960295137
30-34,F,2008,England_Wales,110.43467145120276
30-34,F,2009,England_Wales,108.56671326036114
30-34,F,2010,England_Wales,112.57558107283519
30-34,F,2011,England_Wales,112.09266174024876
30-34,F,2012,England_Wales,114.41474138780214
30-34,F,2013,England_Wales,109.38531899307749
30-34,F,2014,England_Wales,110.16682871910342
30-34,F,2015,England_Wales,110.80260100193841
30-34,F,2016,England_Wales,111.74352427791821
30-34,F,2017,England_Wales,109.55068695116815
30-34,F,2018,England_Wales,106.25206120595796
35-39,F,2002,England_Wales,42.84137535032114
35-39,F,2003,England_Wales,46.50889286942047
35-39,F,2004,England_Wales,48.804925001277475
35-39,F,2005,England_Wales,50.41738451910968
35-39,F,2006,England_Wales,53.8533421684349
35-39,F,2007,England_Wales,56.38422686404487
35-39,F,2008,England_Wales,58.05937267192949
