age,gender,covid_deaths,excess_deaths,deaths
0-9,Male,4,-245.4,4
10-19,Male,8,-118.8,8
20-29,Male,33,-212.6,33
30-39,Male,131,-206.6,131
40-49,Male,649,-243.8,649
50-59,Male,2603,1793.6,2603
60-69,Male,7691,4963.2,7691
70-79,Male,18144,14358.2,18144
80-89,Male,24640,26191.2,26191.2
90+,Male,7508,12616.2,12616.2
0-9,Female,6,-180,6
10-19,Female,6,1.8000000000000016,6
20-29,Female,22,-86.39999999999999,22
30-39,Female,78,-145.8,78
40-49,Female,276,-240.4,276
50-59,Female,989,576.8000000000001,989
60-69,Female,2770,1294.8000000000002,2770
70-79,Female,8526,5859.6,8526
80-89,Female,20693,19766.399999999998,20693
90+,Female,14568,24856.4,24856.4
