age,gender,nb_excess,nb_covid,max_deaths,nb_orphans
0-19,Female,-178,12,12,0
0-19,Male,-364,12,12,0
20-49,Female,-473,376,376,363
20-49,Male,-663,813,813,704
50-69,Female,1872,3759,3759,237
50-69,Male,6757,10294,10294,1477
70+,Female,50482,43787,54075,0
70+,Male,53166,50292,56951,67
