age,gender,COVID19_deaths,nb_orphans
0-14,Female,143,0
0-14,Male,179,0
15-44,Female,6084,8940
15-44,Male,12966,18282
45-64,Female,32169,6587
45-64,Male,56973,25003
65+,Female,43079,18
65+,Male,65316,2353
