date, "age",Male,Female
2021/03/18,"0-4",3.03,2.59
2021/03/18,"5-9",0,0
2021/03/18,"10-14",0,0
2021/03/18,"15-19",1.67,1.89
2021/03/18,"20-24",7.09,5.16
2021/03/18,"25-29",17.37,10.16
2021/03/18,"30-34",40.84,18.71
2021/03/18,"35-39",75.46,29.76
2021/03/18,"40-44",135.57,52.81
2021/03/18,"45-49",240.07,101.63
2021/03/18,"50-54",369.61,166.44
2021/03/18,"55-59",550.85,282.65
2021/03/18,"60-64",800.22,431.42
2021/03/18,"65-69",1077.68,581.13
2021/03/18,"70-74",1423.93,770.94
2021/03/18,"75-79",1606.68,872.59
2021/03/18,80+,1729.69,840.56
