"country","[0-5)","[5-10)","[10-18)","Total","Maternal","Paternal"
"Argentina","4,300 [4,100 - 4,500]","6,500 [6,200 - 6,800]","19,400 [18,800 - 20,000]","30,300 [29,400 - 30,900]","7,000 [6,700 - 7,200]","23,300 [22,600 - 23,900]"
"Brazil","32,200 [31,000 - 33,300]","41,900 [40,800 - 43,100]","95,800 [94,200 - 97,400]","169,900 [167,300 - 172,500]","38,500 [37,800 - 39,200]","131,400 [129,100 - 133,700]"
"Colombia","7,500 [7,100 - 7,800]","11,700 [11,100 - 12,200]","36,100 [34,900 - 37,100]","55,300 [53,700 - 56,600]","12,500 [12,000 - 12,900]","42,800 [41,400 - 44,000]"
"England & Wales","1,500 [1,400 - 1,600]","2,500 [2,300 - 2,600]","6,500 [6,300 - 6,600]","10,400 [10,200 - 10,600]","2,800 [2,700 - 3,000]","7,600 [7,400 - 7,800]"
"France","600 [500 - 700]","1,100 [1,000 - 1,200]","3,600 [3,500 - 3,700]","5,300 [5,100 - 5,500]","1,400 [1,300 - 1,500]","3,900 [3,700 - 4,100]"
"Germany","300 [200 - 400]","500 [400 - 600]","1,500 [1,400 - 1,600]","2,400 [2,200 - 2,500]","600 [500 - 600]","1,800 [1,700 - 1,900]"
"India","266,100 [263,500 - 268,600]","405,900 [401,600 - 409,600]","1,245,100 [1,237,200 - 1,252,700]","1,917,100 [1,905,000 - 1,928,300]","421,800 [417,500 - 426,500]","1,495,300 [1,484,500 - 1,505,200]"
"Iran (Islamic Republic of)","12,000 [11,700 - 12,200]","16,500 [16,200 - 16,800]","42,700 [42,200 - 43,100]","71,200 [70,300 - 72,000]","15,700 [15,300 - 16,100]","55,500 [54,700 - 56,200]"
"Italy","400 [300 - 400]","700 [700 - 800]","2,700 [2,600 - 2,800]","3,800 [3,600 - 3,900]","800 [700 - 900]","3,000 [2,800 - 3,100]"
"Kenya","1,800 [1,700 - 1,900]","2,200 [2,100 - 2,400]","4,300 [4,100 - 4,500]","8,400 [8,000 - 8,700]","1,400 [1,300 - 1,600]","6,900 [6,600 - 7,200]"
"Malawi","600 [500 - 700]","800 [700 - 900]","2,000 [1,800 - 2,200]","3,500 [3,200 - 3,700]","700 [600 - 800]","2,800 [2,500 - 3,000]"
"Mexico","25,500 [25,100 - 25,800]","43,500 [43,100 - 43,900]","123,600 [122,600 - 124,500]","192,500 [191,000 - 194,000]","52,800 [52,000 - 53,600]","139,700 [138,500 - 140,900]"
"Nigeria","1,000 [900 - 1,200]","1,400 [1,300 - 1,500]","3,100 [2,900 - 3,300]","5,500 [5,300 - 5,900]","800 [700 - 900]","4,700 [4,500 - 5,000]"
"Peru","12,900 [12,200 - 13,500]","19,000 [18,000 - 19,700]","48,300 [46,500 - 49,700]","80,200 [77,700 - 81,800]","18,200 [17,700 - 18,900]","62,000 [59,800 - 63,300]"
"Philippines","2,400 [2,300 - 2,500]","3,800 [3,700 - 4,000]","10,100 [9,900 - 10,300]","16,300 [16,000 - 16,700]","6,900 [6,600 - 7,200]","9,400 [9,200 - 9,700]"
"Poland","1,000 [1,000 - 1,100]","1,500 [1,400 - 1,600]","4,000 [3,900 - 4,100]","6,500 [6,400 - 6,700]","1,400 [1,300 - 1,500]","5,100 [5,000 - 5,300]"
"South Africa","27,000 [26,200 - 27,900]","35,600 [34,600 - 36,700]","71,900 [70,100 - 73,600]","134,500 [131,600 - 137,200]","42,100 [40,900 - 43,300]","92,500 [90,200 - 94,500]"
"Spain","300 [200 - 400]","500 [500 - 600]","2,000 [1,900 - 2,100]","2,800 [2,700 - 2,900]","800 [700 - 800]","2,100 [1,900 - 2,200]"
"USA","30,200 [30,000 - 30,400]","38,100 [37,800 - 38,300]","81,100 [80,600 - 81,500]","149,300 [148,500 - 150,200]","44,200 [43,700 - 44,700]","105,200 [104,500 - 105,800]"
"Zimbabwe","2,000 [1,900 - 2,200]","2,300 [2,100 - 2,500]","3,600 [3,400 - 3,800]","8,000 [7,500 - 8,300]","2,200 [2,000 - 2,400]","5,700 [5,300 - 6,000]"
"Total","429,700 [425,400 - 433,700]","636,300 [628,800 - 642,700]","1,807,300 [1,794,700 - 1,819,400]","2,873,300 [2,852,100 - 2,891,600]","672,600 [665,800 - 679,300]","2,200,700 [2,183,900 - 2,215,100]"
"Global extrapolation","491,300 [485,100 - 497,900]","736,800 [726,900 - 746,500]","2,146,700 [2,120,900 - 2,174,200]","3,374,900 [3,335,800 - 3,415,100]","793,600 [784,000 - 804,200]","2,581,300 [2,550,900 - 2,613,800]"
"Global extrapolation percentages","14.6% [14.4% - 14.7%]","21.8% [21.7% - 22%]","63.6% [63.4% - 63.8%]","-","23.5% [23.3% - 23.7%]","76.5% [76.3% - 76.7%]"
