"","country","orphans","orphans_per_thousand","primary_loss","primary_per_thousand","mg_grandmother","mg_grandfather","mg_both","all","all_per_thousand"
"1","Argentina",13003,0.995905627697803,14117,1.08122738954164,1898,3474,15,19504,1.49382014632146
"2","Brazil",113150,2.06505897582127,130363,2.37920709911611,22639,36714,183,189899,3.4657767074634
"3","Colombia",29851,2.04768075853707,33293,2.2837906768274,5919,10824,47,50083,3.43552964489672
"4","England",10420,0.757288355347023,11018,0.800748857889971,674,1707,5,13404,0.974154809507821
"5","France",4064,0.272641212416151,4371,0.293236894554871,204,965,2,5542,0.371795669097024
"6","Germany",1590,0.127402692587799,1832,0.146793542654622,279,681,2,2794,0.223876178044221
"7","India",116263,0.28007120948353,119170,0.287074013522378,26291,41298,213,186972,0.450405323959941
"8","I.R. Iran",40426,1.68370193519518,40996,1.70744185759812,3320,9836,28,54180,2.25654209787945
"9","Italy",3201,0.314938876178844,3568,0.35104714470669,629,1580,5,5782,0.568877407705741
"10","Kenya",4312,0.176089431869418,4500,0.183766800420311,60,309,0,4869,0.198835678054777
"11","Malawi",2233,0.233616529295335,2367,0.247635613453676,30,135,0,2532,0.264897918574021
"12","Mexico",131325,3.27560837956121,141132,3.52022205843695,23544,38682,191,203549,5.07707451019459
"13","Nigeria",3853,0.0370400346055632,3947,0.0379436845544142,108,431,1,4487,0.0431348651116434
"14","Peru",92702,9.57372736719502,98975,10.2215665915312,11670,25831,96,136572,14.1043676942521
"15","Philippines",6502,0.165740513165461,7227,0.184221268632234,1292,1873,10,10402,0.265154232228103
"16","Poland",3159,0.469992839267061,4097,0.609547534813912,1720,2786,14,8617,1.28202858371772
"17","Russian Federation",22293,0.772531599879572,29724,1.03004213317276,12352,14338,100,56514,1.95841074936501
"18","South Africa",82422,4.42568421796454,94625,5.08092947422891,12773,11748,96,119242,6.40274972117309
"19","Spain",2309,0.272375776179541,2669,0.314842332881418,1181,2119,10,5979,0.70529872922368
"20","USA",104884,1.41799099942638,113708,1.53728805692741,8770,14143,71,136692,1.84802282229501
"21","Zimbabwe",2667,0.403092948669506,2798,0.422892414839624,55,134,0,2987,0.451458056871322
