Region,Minimum estimates of orphanhood,Minimum estimates of primary caregiver loss,Minimum estimates of primary and/or secondary caregiver loss
African ,131300 [130100 - 132500],144000 [142800 - 145200],173600 [172400 - 174800]
Americas,529100 [521900 - 537700],575800 [568600 - 584300],794400 [786400 - 803900]
Eastern Mediterranean,154900 [147200 - 162000],155500 [147700 - 162600],184100 [176100 - 191300]
European,102100 [94500 - 110500],112100 [104500 - 120500],182200 [172600 - 193800]
South-East Asia,138300 [130000 - 149200],141200 [132900 - 152100],217700 [207000 - 230000]
Western Pacific,8295 [7800 - 8900],9020 [8500 - 9600],13330 [12600 - 14200]
