"age","gender","date","deaths"
"0-4","male","2021-10-09",117
"5-9","male","2021-10-09",24
"10-14","male","2021-10-09",35
"15-19","male","2021-10-09",89
"20-24","male","2021-10-09",254
"25-29","male","2021-10-09",505
"30-34","male","2021-10-09",861
"35-39","male","2021-10-09",1529
"40-44","male","2021-10-09",2368
"45-49","male","2021-10-09",3217
"50-54","male","2021-10-09",4785
"55-59","male","2021-10-09",6972
"60-64","male","2021-10-09",8889
"65-69","male","2021-10-09",9898
"70-74","male","2021-10-09",10173
"75-79","male","2021-10-09",9462
"80-84","male","2021-10-09",8714
"85+","male","2021-10-09",10769
"0-4","female","2021-10-09",72
"5-9","female","2021-10-09",15
"10-14","female","2021-10-09",22
"15-19","female","2021-10-09",55
"20-24","female","2021-10-09",157
"25-29","female","2021-10-09",312
"30-34","female","2021-10-09",532
"35-39","female","2021-10-09",945
"40-44","female","2021-10-09",1464
"45-49","female","2021-10-09",1989
"50-54","female","2021-10-09",2957
"55-59","female","2021-10-09",4309
"60-64","female","2021-10-09",5495
"65-69","female","2021-10-09",6118
"70-74","female","2021-10-09",6288
"75-79","female","2021-10-09",5849
"80-84","female","2021-10-09",5386
"85+","female","2021-10-09",6656
