"age","gender","covid19_deaths","nb_orphans"
"0-14","female",109,0
"0-14","male",176,0
"15-44","female",15507,4891
"15-44","male",25089,9464
"45-64","female",14750,3245
"45-64","male",23863,15720
"65+","female",18255,8
"65+","male",29533,2854
