"age","gender","deaths.x","deaths.y","deaths","child_age","nb_c","orphans"
"0-9","Male",3,5,2,0,0,0
"0-9","Male",3,5,2,1,0,0
"0-9","Male",3,5,2,2,0,0
"0-9","Male",3,5,2,3,0,0
"0-9","Male",3,5,2,4,0,0
"0-9","Male",3,5,2,5,0,0
"0-9","Male",3,5,2,6,0,0
"0-9","Male",3,5,2,7,0,0
"0-9","Male",3,5,2,8,0,0
"0-9","Male",3,5,2,9,0,0
"0-9","Male",3,5,2,10,0,0
"0-9","Male",3,5,2,11,0,0
"0-9","Male",3,5,2,12,0,0
"0-9","Male",3,5,2,13,0,0
"0-9","Male",3,5,2,14,0,0
"0-9","Male",3,5,2,15,0,0
"0-9","Male",3,5,2,16,0,0
"0-9","Male",3,5,2,17,0,0
"0-9","Female",8,11,3,0,0,0
"0-9","Female",8,11,3,1,0,0
"0-9","Female",8,11,3,2,0,0
"0-9","Female",8,11,3,3,0,0
"0-9","Female",8,11,3,4,0,0
"0-9","Female",8,11,3,5,0,0
"0-9","Female",8,11,3,6,0,0
"0-9","Female",8,11,3,7,0,0
"0-9","Female",8,11,3,8,0,0
"0-9","Female",8,11,3,9,0,0
"0-9","Female",8,11,3,10,0,0
"0-9","Female",8,11,3,11,0,0
"0-9","Female",8,11,3,12,0,0
"0-9","Female",8,11,3,13,0,0
"0-9","Female",8,11,3,14,0,0
"0-9","Female",8,11,3,15,0,0
"0-9","Female",8,11,3,16,0,0
"0-9","Female",8,11,3,17,0,0
"10-19","Male",5,6,1,0,0.00051396250458508,0
"10-19","Male",5,6,1,1,0.000411143227289964,0
"10-19","Male",5,6,1,2,0.000308321612857893,0
"10-19","Male",5,6,1,3,0.00020551837412034,0
"10-19","Male",5,6,1,4,0.000102744459034069,0
"10-19","Male",5,6,1,5,0,0
"10-19","Male",5,6,1,6,0,0
"10-19","Male",5,6,1,7,0,0
"10-19","Male",5,6,1,8,0,0
"10-19","Male",5,6,1,9,0,0
"10-19","Male",5,6,1,10,0,0
"10-19","Male",5,6,1,11,0,0
"10-19","Male",5,6,1,12,0,0
"10-19","Male",5,6,1,13,0,0
"10-19","Male",5,6,1,14,0,0
"10-19","Male",5,6,1,15,0,0
"10-19","Male",5,6,1,16,0,0
"10-19","Male",5,6,1,17,0,0
"10-19","Female",2,7,5,0,0.00403253881222277,0
"10-19","Female",2,7,5,1,0.00322582096288867,0
"10-19","Female",2,7,5,2,0.00241908477642802,0
"10-19","Female",2,7,5,3,0.00161249276527331,0
"10-19","Female",2,7,5,4,0.000806130826859046,0
"10-19","Female",2,7,5,5,0,0
"10-19","Female",2,7,5,6,0,0
"10-19","Female",2,7,5,7,0,0
"10-19","Female",2,7,5,8,0,0
"10-19","Female",2,7,5,9,0,0
"10-19","Female",2,7,5,10,0,0
"10-19","Female",2,7,5,11,0,0
"10-19","Female",2,7,5,12,0,0
"10-19","Female",2,7,5,13,0,0
"10-19","Female",2,7,5,14,0,0
"10-19","Female",2,7,5,15,0,0
"10-19","Female",2,7,5,16,0,0
"10-19","Female",2,7,5,17,0,0
"20-29","Male",43,65,22,0,0.0319105709897806,1
"20-29","Male",43,65,22,1,0.0270193785939566,1
"20-29","Male",43,65,22,2,0.0221276944426217,0
"20-29","Male",43,65,22,3,0.0172366848259953,0
"20-29","Male",43,65,22,4,0.0123470668150919,0
"20-29","Male",43,65,22,5,0.00748682666171356,0
"20-29","Male",43,65,22,6,0.00628910639699849,0
"20-29","Male",43,65,22,7,0.00487707893698848,0
"20-29","Male",43,65,22,8,0.00359069756012315,0
"20-29","Male",43,65,22,9,0.00209334114444561,0
"20-29","Male",43,65,22,10,0.000597488553102145,0
"20-29","Male",43,65,22,11,0.000477993315074812,0
"20-29","Male",43,65,22,12,0.000358496407492272,0
"20-29","Male",43,65,22,13,0.000276714247240568,0
"20-29","Male",43,65,22,14,0.000138358030140088,0
"20-29","Male",43,65,22,15,0,0
"20-29","Male",43,65,22,16,0,0
"20-29","Male",43,65,22,17,0,0
"20-29","Female",24,36,12,0,0.0592427026860523,1
"20-29","Female",24,36,12,1,0.0518262308676028,1
"20-29","Female",24,36,12,2,0.0444084596019643,1
"20-29","Female",24,36,12,3,0.036991420659164,0
"20-29","Female",24,36,12,4,0.0295764869311876,0
"20-29","Female",24,36,12,5,0.0222468092930445,0
"20-29","Female",24,36,12,6,0.0186980700568182,0
"20-29","Female",24,36,12,7,0.015030891145686,0
"20-29","Female",24,36,12,8,0.0113637069159404,0
"20-29","Female",24,36,12,9,0.00769650147920737,0
"20-29","Female",24,36,12,10,0.00402946491670873,0
"20-29","Female",24,36,12,11,0.00390644726455159,0
"20-29","Female",24,36,12,12,0.00292984706319703,0
"20-29","Female",24,36,12,13,0.00195323994104643,0
"20-29","Female",24,36,12,14,0.000976626369365003,0
"20-29","Female",24,36,12,15,0,0
"20-29","Female",24,36,12,16,0,0
"20-29","Female",24,36,12,17,0,0
"30-39","Male",117,205,88,0,0.0782804483103371,7
"30-39","Male",117,205,88,1,0.0761480160230384,7
"30-39","Male",117,205,88,2,0.0740120859899146,7
"30-39","Male",117,205,88,3,0.0718747279253121,6
"30-39","Male",117,205,88,4,0.0697379477233068,6
"30-39","Male",117,205,88,5,0.0678553387767071,6
"30-39","Male",117,205,88,6,0.0591380149800089,5
"30-39","Male",117,205,88,7,0.0502327307786377,4
"30-39","Male",117,205,88,8,0.0437814890370216,4
"30-39","Male",117,205,88,9,0.0371228001297551,3
"30-39","Male",117,205,88,10,0.030652506124078,3
"30-39","Male",117,205,88,11,0.0261376022456816,2
"30-39","Male",117,205,88,12,0.0216226255238091,2
"30-39","Male",117,205,88,13,0.0191766007738932,2
"30-39","Male",117,205,88,14,0.0140484430938097,1
"30-39","Male",117,205,88,15,0.00890740357098778,1
"30-39","Male",117,205,88,16,0.00726422089880638,1
"30-39","Male",117,205,88,17,0.00562087141428894,0
"30-39","Female",64,100,36,0,0.0878709884179401,3
"30-39","Female",64,100,36,1,0.0894469942577734,3
"30-39","Female",64,100,36,2,0.0910181518738692,3
"30-39","Female",64,100,36,3,0.0925864661575563,3
"30-39","Female",64,100,36,4,0.0941542880688126,3
"30-39","Female",64,100,36,5,0.0960806907069555,3
"30-39","Female",64,100,36,6,0.0828503991477273,3
"30-39","Female",64,100,36,7,0.0767735391796323,3
"30-39","Female",64,100,36,8,0.0706967268765814,3
"30-39","Female",64,100,36,9,0.0646199095729835,2
"30-39","Female",64,100,36,10,0.0585459313478042,2
"30-39","Female",64,100,36,11,0.0555746196352735,2
