"age","gender","COVID19_deaths","nb_orphans"
"0-19","Female",18,0
"0-19","Male",11,0
"20-49","Female",416,399
"20-49","Male",849,725
"50-69","Female",3728,162
"50-69","Male",8605,1002
"70+","Female",41052,0
"70+","Male",41055,75
