"Period","age","fertility_rate","country","gender","date"
"2000-2005","15-19",12.37,"Germany","Female","2003"
"2000-2005","15-19",12.37,"Germany","Female","2004"
"2005-2010","15-19",9.771,"Germany","Female","2005"
"2005-2010","15-19",9.771,"Germany","Female","2006"
"2005-2010","15-19",9.771,"Germany","Female","2007"
"2005-2010","15-19",9.771,"Germany","Female","2008"
"2005-2010","15-19",9.771,"Germany","Female","2009"
"2010-2015","15-19",8.063,"Germany","Female","2010"
"2010-2015","15-19",8.063,"Germany","Female","2011"
"2010-2015","15-19",8.063,"Germany","Female","2012"
"2010-2015","15-19",8.063,"Germany","Female","2013"
"2010-2015","15-19",8.063,"Germany","Female","2014"
"2015-2020","15-19",8.095,"Germany","Female","2015"
"2015-2020","15-19",8.095,"Germany","Female","2016"
"2015-2020","15-19",8.095,"Germany","Female","2017"
"2015-2020","15-19",8.095,"Germany","Female","2018"
"2015-2020","15-19",8.095,"Germany","Female","2019"
"2000-2005","20-24",52.373,"Germany","Female","2003"
"2000-2005","20-24",52.373,"Germany","Female","2004"
"2005-2010","20-24",43.277,"Germany","Female","2005"
"2005-2010","20-24",43.277,"Germany","Female","2006"
"2005-2010","20-24",43.277,"Germany","Female","2007"
"2005-2010","20-24",43.277,"Germany","Female","2008"
"2005-2010","20-24",43.277,"Germany","Female","2009"
"2010-2015","20-24",36.693,"Germany","Female","2010"
"2010-2015","20-24",36.693,"Germany","Female","2011"
"2010-2015","20-24",36.693,"Germany","Female","2012"
"2010-2015","20-24",36.693,"Germany","Female","2013"
"2010-2015","20-24",36.693,"Germany","Female","2014"
"2015-2020","20-24",36.424,"Germany","Female","2015"
"2015-2020","20-24",36.424,"Germany","Female","2016"
"2015-2020","20-24",36.424,"Germany","Female","2017"
"2015-2020","20-24",36.424,"Germany","Female","2018"
"2015-2020","20-24",36.424,"Germany","Female","2019"
"2000-2005","25-29",87.916,"Germany","Female","2003"
"2000-2005","25-29",87.916,"Germany","Female","2004"
"2005-2010","25-29",82.467,"Germany","Female","2005"
"2005-2010","25-29",82.467,"Germany","Female","2006"
"2005-2010","25-29",82.467,"Germany","Female","2007"
"2005-2010","25-29",82.467,"Germany","Female","2008"
"2005-2010","25-29",82.467,"Germany","Female","2009"
"2010-2015","25-29",80.458,"Germany","Female","2010"
"2010-2015","25-29",80.458,"Germany","Female","2011"
