"","sex","age","deaths"
"1","Female","0-4",1637
"2","Male","0-4",3149
"3","Female","20-29",3272
"4","Male","20-29",6290
"5","Female","30-39",4130
"6","Male","30-39",15299
"7","Female","40-49",25982
"8","Male","40-49",35908
"9","Female","5-19",4187
"10","Male","5-19",0
"11","Female","50-59",36760
"12","Male","50-59",78804
"13","Female","60-69",50754
"14","Male","60-69",93015
"15","Female","70-79",28403
"16","Male","70-79",38314
"17","Female","80+",11550
"18","Male","80+",12198
